epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G29,G31,G32
08 11 14 23 59 59.9980000,,"[-0.2168692611157894, -0.7008121237158775]",,"[0.020014505833387375, -0.05520297586917877]",,,,"[-0.38674532249569893, 0.9418531097471714]","[-0.2127295397222042, 0.46089622378349304]",,"[0.17799190804362297, -1.3771923519670963]",,,"[-0.3138567544519901, 0.009516436606645584]",,,,,"[0.8750456236302853, 0.28576378151774406]",
08 11 15 0 0 29.9980000,,"[-0.11745345965027809, -0.07027329131960869]",,"[0.09835536777973175, 0.12217403575778008]",,,,"[0.1356862559914589, -0.1858699955046177]","[-0.21772102639079094, -0.08675620704889297]",,"[-0.11106936633586884, -0.8687087781727314]",,,"[-0.4353690966963768, -0.39326297864317894]",,,,,"[0.12567221000790596, 0.7114614583551884]",
08 11 15 0 0 59.9980000,,"[0.12367299571633339, -0.01148715615272522]",,"[0.3219238594174385, 0.485184621065855]",,,,"[-0.08131858333945274, -0.32863564416766167]","[0.08770759031176567, -0.5143976584076881]",,"[1.1680694334208965, -0.4019901044666767]",,,"[-0.5135083422064781, -0.7207685671746731]",,,,,"[0.10499358549714088, -0.5295349135994911]",
08 11 15 0 1 29.9980000,,"[0.30618756636977196, 0.5083832256495953]",,"[0.2645695358514786, -0.027139898389577866]",,,,"[-0.47534212842583656, 0.4816559851169586]","[-0.09234178811311722, -0.36283965036273]",,"[0.5057734996080399, 0.10602758452296257]",,,"[-0.15939707309007645, -0.36172449588775635]","[-0.8383729867637157, 0.8782255128026009]",,,,"[0.2204888015985489, -1.958485271781683]",
08 11 15 0 1 59.9980000,,"[0.7553413324058056, 0.4402070827782154]",,"[-0.06660805642604828, -0.06823915988206863]",,,,"[0.46955446898937225, -0.31539247557520866]","[-0.030013319104909897, 0.3601960763335228]",,"[1.2048749290406704, 0.7480442710220814]",,,"[0.4461470656096935, 0.6714536584913731]","[0.16320161893963814, 0.8776377774775028]",,,,"[-0.504092063754797, -1.4313499592244625]",
08 11 15 0 2 29.9980000,,"[0.1848825253546238, 0.24778412654995918]",,"[0.16339575126767159, -0.00658673420548439]",,,,"[-0.3376547135412693, -0.8236048966646194]","[-0.06711317226290703, -0.3865647129714489]",,"[0.20016057044267654, 1.4803749062120914]",,,"[0.47266193106770515, -0.4856826029717922]","[0.44866229593753815, 1.2711970694363117]",,,,"[0.2915304973721504, -0.7478158362209797]",
08 11 15 0 2 59.9980000,,"[-0.6280435882508755, -0.44055842235684395]",,"[-0.0015440359711647034, -0.2249058522284031]",,,,"[0.10507139191031456, 0.32536888495087624]","[-0.10570705309510231, -0.2338024191558361]",,"[1.0318294502794743, 1.358526822179556]",,,"[0.12088443338871002, -0.3084309697151184]","[0.46460841596126556, 1.005487859249115]",,,,"[-0.06507856026291847, -0.34094562008976936]",
08 11 15 0 3 29.9980000,,"[-0.036333952099084854, 0.4202609658241272]",,"[-0.010977961122989655, -0.32853324338793755]",,,,"[0.2501704692840576, 0.5831768438220024]","[-0.062422141432762146, 0.08266961202025414]",,"[0.4950825795531273, 1.3387155570089817]",,,"[-0.11741508543491364, 0.07310016825795174]","[-0.13225683197379112, -1.7441836223006248]",,,,"[-0.6322861947119236, -0.6482065804302692]",
08 11 15 0 3 59.9980000,,"[-0.02819959819316864, 0.8620980866253376]",,"[0.1791343055665493, 0.6807007901370525]",,,,"[0.030912183225154877, 0.62327915802598]","[-0.3308265432715416, 0.02536167949438095]",,"[0.5338189415633678, 0.5735791511833668]",,,"[-0.21058453246951103, 0.7937531732022762]","[-0.35352445393800735, -1.1404301337897778]",,,,"[-0.18523439392447472, -0.043812189251184464]",
08 11 15 0 4 29.9980000,,"[0.4694204293191433, 1.8081288561224937]",,"[-0.14385898411273956, 0.27696727588772774]",,,,"[0.8318830952048302, 0.816150788217783]","[0.23748768493533134, 0.06638700142502785]",,"[0.37682387977838516, 1.9451508335769176]",,,"[-0.25755105540156364, -0.9413046538829803]","[0.12391198053956032, -0.4412992000579834]",,,,"[-0.4069376438856125, 0.971674270927906]",
