epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G29,G31,G32
08 11 15 0 6 59.9990000,,"[0.04178259486070601, 0.023188329541881103]",,"[0.012587258665007539, -0.004892803950497182]",,,,"[-0.017027920730470214, 0.0025352156517328694]","[-0.08932190404789253, -0.01207860152635476]",,"[0.17162756168818305, 0.033781329897465184]",,"[0.21132708263212407, 0.019199808771190874]","[-0.07828483948014764, -0.0253198483765118]","[0.13170197040381026, 0.019829575645417208]",,,,"[-0.17654458624338076, -0.005910118301471812]",
08 11 15 0 7 29.9990000,,"[0.04308249781752238, 0.0025998059136327356]",,"[0.013103991402203974, 0.0010334654743928695]",,,,"[-0.024100685614030226, -0.014145529767120024]","[-0.09421470652478092, -0.009785604953776783]",,"[0.2036891436505357, 0.0641231639247053]",,"[0.22883944007980972, 0.03502471489537129]","[-0.08976597070636672, -0.022962262452438154]","[0.12408825306602012, -0.015227434675580298]",,,,"[-0.19379050383713547, -0.03449183518750942]",
08 11 15 0 7 59.9990000,,"[0.04933172090022708, 0.012498446165409405]",,"[0.010730254949521623, -0.0047474729053647025]",,,,"[-0.017431618143746164, 0.013338134940568125]","[-0.10487229609134374, -0.02131517913312564]",,"[0.2422421660207874, 0.07710604474050342]",,"[0.24755481361444254, 0.037430747069265635]","[-0.09010507549044178, -0.0006782095681501232]","[0.11251830919718486, -0.023139887737670506]",,,,"[-0.22259829136919507, -0.057615575064119184]",
08 11 15 0 8 29.9990000,,"[0.05234329771337798, 0.0060231536263017915]",,"[0.013281616983476852, 0.005102724067910458]",,,,"[-0.01439581909471599, 0.006071598098060349]","[-0.11779058647175589, -0.02583658076082429]",,"[0.26710180110012516, 0.0497192701586755]",,"[0.25801055492820524, 0.020911482627525402]","[-0.08909583403146826, 0.00201848291794704]","[0.13568241857819885, 0.04632821876202797]",,,,"[-0.2348141495285745, -0.024431716318758845]",
08 11 15 0 8 59.9990000,,"[0.06188668443792267, 0.019086773449089378]",,"[0.009930935979355127, -0.00670136200824345]",,,,"[-0.01991031524630671, -0.01102899230318144]","[-0.12079408899239752, -0.006007005041283264]",,"[0.30462136125697725, 0.07503912031370419]",,"[0.2694190194465591, 0.022816929036707734]","[-0.0868028371805849, 0.004585993701766711]","[0.15557658581565192, 0.03978833447490615]",,,,"[-0.24997699305686183, -0.030325687056574683]",
08 11 15 0 9 29.9990000,,"[0.06815205449674977, 0.012530740117654204]",,"[0.016365859318284492, 0.012869846677858732]",,,,"[-0.02220331150419952, -0.00458599251578562]","[-0.1264539149672146, -0.011319651949634135]",,"[0.32537136527434996, 0.041500008034745406]",,"[0.266463960888359, -0.005910117116400215]","[-0.09225274129619265, -0.010899808231215502]","[0.18365771960407073, 0.05616226757683762]",,,,"[-0.26605219058137664, -0.03215039504902961]",
08 11 15 0 9 59.9990000,,"[0.07917297153471736, 0.022041834075935185]",,"[0.013862940571016225, -0.005005837494536536]",,,,"[-0.017399322421624674, 0.009607978165149689]","[-0.12955430464444362, -0.006200779354458064]",,"[0.3610016242155325, 0.0712605178823651]",,"[0.2869717466946895, 0.041015571612661006]","[-0.08866791556749831, 0.007169651457388682]","[0.2012265944167666, 0.035137749625391734]",,,,"[-0.2764917840340786, -0.020879186905403913]",
08 11 15 0 10 29.9990000,,"[0.08069087106196093, 0.0030357990544871427]",,"[0.025392514491613838, 0.023059147841195227]",,,,"[-0.016600002858467633, 0.0015986391263140831]","[-0.13615070668538465, -0.013192804081882059]",,"[0.3769153431308041, 0.031827437830543204]",,"[0.29661202088118443, 0.01928054837298987]","[-0.09549846105539928, -0.013661090975801926]","[0.20108933745041213, -0.00027451393270894187]",,,,"[-0.28994295370648615, -0.026902339344815118]",
08 11 15 0 10 59.9990000,,"[0.09245458911391324, 0.02352743610390462]",,"[0.02627257246967929, 0.0017601159561309032]",,,,"[-0.014218192920452566, 0.004763619876030134]","[-0.13805615450246478, -0.0038108956341602607]",,"[0.4182457987735688, 0.08266091128552944]",,"[0.2912590045239085, -0.010706032714551839]","[-0.09880069936525615, -0.0066044766197137506]","[0.207516187006604, 0.012853699112383765]",,,,"[-0.30357982392797567, -0.027273740442979033]",
08 11 15 0 11 29.9990000,,"[0.10015711909363745, 0.015405059959448408]",,"[0.027297962678858312, 0.0020507804183580447]",,,,"[-0.013548057429943583, 0.0013402709810179658]","[-0.13992930661606806, -0.003746304227206565]",,"[0.4448494028379173, 0.05320720812869695]",,"[0.2996720409801128, 0.016826072912408563]","[-0.09163104850051695, 0.014339301729478393]","[0.21529138310233975, 0.015550392191471474]",,,,"[-0.32055122788506196, -0.03394280791417259]",
08 11 15 0 11 59.9990000,,"[0.10179612742649624, 0.003278016665717587]",,"[0.026345238585236075, -0.0019054481872444737]",,,,"[-0.017262066046896507, -0.007428017233905849]","[-0.1501831995935845, -0.020507785955032887]",,"[0.4516153577710611, 0.013531909866287606]",,"[0.2903708721705698, -0.01860233761908603]","[-0.10534058454106798, -0.02741907208110206]","[0.21936871844263806, 0.00815467068059661]",,,,"[-0.33199198901411364, -0.02288152225810336]",
08 11 15 0 12 29.9990000,,"[0.10898192704189569, 0.014371599230798893]",,"[0.029930063720712496, 0.007169650270952843]",,,,"[-0.01563113060728938, 0.003261870879214257]","[-0.15873349303433315, -0.017100586881497293]",,"[0.4730274237922458, 0.042824132042369456]",,"[0.3081738908194893, 0.035606037297839066]","[-0.10570391096837284, -0.0007266528546097106]","[0.2360171650320808, 0.03329689317888551]",,,,"[-0.35876514606343335, -0.053546314098639414]",
08 11 15 0 12 59.9990000,,"[0.11766140394320246, 0.01735895380261354]",,"[0.03610662128448894, 0.012353115127552883]",,,,"[-0.014646111976617249, 0.0019700372613442596]","[-0.1587334930529778, -3.728928277269006e-11]",,"[0.475199311833876, 0.004343776083260309]",,"[0.2993975273434444, -0.01755272695208987]","[-0.10344321043214677, 0.004521401072452136]","[0.23770461680032895, 0.0033749035364962765]",,,,"[-0.36576524453630554, -0.014000196945744392]",
08 11 15 0 13 29.9990000,,"[0.11614350323361577, -0.0030358014191733673]",,"[0.03263483147111401, -0.006943579626749852]",,,,"[-0.003932004590751603, 0.02142821477173129]","[-0.16692045958484414, -0.016373933063732693]",,"[0.502440756258693, 0.05448288884963404]",,"[0.2993733054036056, -4.844387967750663e-05]","[-0.1110407803535054, -0.015195139842717253]","[0.2452698907031845, 0.015130547805711105]",,,,"[-0.38775055976975636, -0.04397063046690164]",
08 11 15 0 13 59.9990000,,"[0.11902589715828071, 0.005764787849329878]",,"[0.03592899510931602, 0.006588327276404016]",,,,"[-0.013766052812570706, -0.019668096443638206]","[-0.17091705565735538, -0.007993192145022476]",,"[0.5328633304807227, 0.060845148444059305]",,"[0.3091508368529503, 0.019555062898689357]","[-0.11737074185487018, -0.012659923002729556]","[0.25467602090520813, 0.018812260404047265]",,,,"[-0.40590883165668856, -0.036316543773864396]",
08 11 15 0 14 29.9990000,,"[0.12538815497464384, 0.012724515632726252]",,"[0.038569170823393506, 0.005280351428154972]",,,,"[-0.00920428193967382, 0.009123541745793773]","[-0.17921705719754755, -0.01660000308038434]",,"[0.5580378484046378, 0.05034903584783024]",,"[0.3060504469535772, -0.006200779798746225]","[-0.1235472994179645, -0.01235311512618864]","[0.23176220351751908, -0.0458276347753781]",,,,"[-0.4349911331214571, -0.05816460292953707]",
08 11 15 0 14 59.9990000,,"[0.12874691005708883, 0.006717510164889973]",,"[0.04331664254186762, 0.009494943436948233]",,,,"[-0.0010334631024306873, 0.016341637674486265]","[-0.18642707804815473, -0.014420041701214359]",,"[0.5550666413928411, -0.005942414023593301]",,"[0.3270345948067188, 0.04196829570628324]","[-0.12595333159197253, -0.004812064348016065]","[0.23498370192965012, 0.006442996824262082]",,,,"[-0.45188179747719914, -0.03378132871148409]",
08 11 15 0 15 29.9990000,,"[0.12602599652018398, -0.005441827073809691]",,"[0.043825300014759705, 0.0010173149457841646]",,,,"[-0.016260898073596763, -0.030454869942332152]","[-0.19793243039907793, -0.023010704701846407]",,"[0.5581912529355577, 0.0062492230854331865]",,"[0.3166030751362996, -0.02086303934083844]","[-0.13209759284040956, -0.012288522496874066]","[0.24754673924871895, 0.025126074638137652]",,,,"[-0.4732938637944244, -0.04282413263445051]",
08 11 15 0 15 59.9990000,,"[0.12514593735613744, -0.0017601183280930854]",,"[0.03991751706598734, -0.00781556589754473]",,,,"[-0.011117803020169958, 0.01028619010685361]","[-0.20531200378968606, -0.01475914678121626]",,"[0.5661521498773254, 0.01592179388353543]",,"[0.34210862495137917, 0.05101109963015915]","[-0.13799963706321705, -0.01180408844561498]","[0.2636946022958, 0.03229572609416209]",,,,"[-0.48733443113314934, -0.02808113467744988]",
08 11 15 0 16 29.9990000,,"[0.12437891410809243, -0.0015340464960900135]",,"[0.040959054839731834, 0.0020830755474889884]",,,,"[-0.007783269582432695, 0.0066690668754745275]","[-0.20877572037602476, -0.006927433172677411]",,"[0.5781257904186532, 0.023947281082655536]",,"[0.33705434387411515, -0.010108562154528045]","[-0.14718777143855277, -0.018376268750671443]","[0.28178020866016595, 0.036171212728731916]",,,,"[-0.500204277514058, -0.025739692761817423]",
08 11 15 0 16 59.9990000,,"[0.12759233933320502, 0.006426850450225174]",,"[0.03839961813537229, -0.005118873408719082]",,,,"[-0.02142014009950799, -0.02727374103415059]","[-0.21482309508814978, -0.01209474942425004]",,"[0.5731926178541471, -0.009866345129012188]",,"[0.3522979264107562, 0.030487165073282085]","[-0.1535338805045967, -0.012692218132087874]","[0.2796406169331931, -0.004279183453945734]",,,,"[-0.5189842421964386, -0.03755992936476105]",
08 11 15 0 17 29.9990000,,"[0.13330868152479525, 0.011432684383180458]",,"[0.03889212804278941, 0.0009850198148342315]",,,,"[-0.011957492384681245, 0.018925295429653488]","[-0.21780237577104344, -0.005958561365787318]",,"[0.5712548745373169, -0.0038754866336603295]",,"[0.36134880381951007, 0.018101754817507754]","[-0.15078874473192627, 0.005490271545340875]","[0.3016905239069274, 0.04409981394746865]",,,,"[-0.5308125522851697, -0.023656620177462173]",
