epoch,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G22,G23,G25,G27,G28,G31,G32
08 11 15 0 7 30.0000000,"[0.03962685616170347, -9.688420323072933e-05]",,"[0.015041732347526704, -0.005425676545200986]",,,,"[0.0029469847213476896, -0.018263233359903097]","[-0.09047647303304984, -0.024350975534616737]",,"[0.19275703984567372, 0.04024047428538324]",,"[0.23726862528565107, 0.03089086189356749]",,"[-0.07859972264850512, -0.014290858525782824]",,,,"[-0.20400402812538232, -0.02830720769452455]",
08 11 15 0 8 0.0000000,"[0.046489697371725924, 0.013725682420044905]",,"[0.015057882876135409, 3.2301057217409834e-05]",,,,"[0.0012191638816148043, -0.0034556416794657707]","[-0.09755731080986152, -0.014161675553623354]",,"[0.22775753250607522, 0.07000098532080301]",,"[0.24619839329261595, 0.017859536013929755]",,"[-0.08225721505004913, -0.007314984803088009]",,,,"[-0.21110101287467842, -0.014193969498592196]",
08 11 15 0 8 30.0000000,"[0.05341713121106295, 0.013854867678674054]",,"[0.016955252242951246, 0.003794738733631675]",,,,"[0.012974807526916265, 0.023511287290602922]","[-0.1045331891218666, -0.013951756624010159]",,"[0.2502918753089034, 0.045068685605656356]",,"[0.24924226582697884, 0.006087745068725781]",,"[-0.0879251139704138, -0.011335797840729356]",,,,"[-0.23896415098442958, -0.055726276219502324]",
08 11 15 0 9 0.0000000,"[0.06017501295445982, 0.01351576348679373]",,"[0.019433950532402378, 0.004957396578902262]",,,,"[0.009293094743043184, -0.007363425567746162]","[-0.1086589662663755, -0.008251554289017804]",,"[0.28357262181089027, 0.06656149300397374]",,"[0.27247096635574053, 0.046457401057523384]",,"[-0.09096898592542857, -0.0060877439100295305]",,,,"[-0.24707845304965304, -0.01622860413044691]",
08 11 15 0 9 30.0000000,"[0.06438960377909098, 0.008429181649262318]",,"[0.01899795739700494, -0.0008719862707948778]",,,,"[0.00512694614008069, -0.008332297205924988]","[-0.11895323045246187, -0.020588528372172732]",,"[0.304839356787852, 0.042533469953923486]",,"[0.2641305954221025, -0.016680741867276083]",,"[-0.09045225434238091, 0.0010334631660953164]",,,,"[-0.2647926580184503, -0.03542840993759455]",
08 11 15 0 10 0.0000000,"[0.07038853635367559, 0.011997865149169229]",,"[0.021831908034982916, 0.0056679012759559555]",,,,"[0.022340567549690604, 0.03442724281921983]","[-0.12076986614556517, -0.0036332713862066157]",,"[0.33725619109827676, 0.0648336686208495]",,"[0.2890951914496327, 0.04992919205506041]",,"[-0.0919378575636074, -0.002971206442452967]",,,,"[-0.2748608503725336, -0.020136384708166588]",
08 11 15 0 10 30.0000000,"[0.07773581279980135, 0.014694552892251522]",,"[0.02414912712174555, 0.004634438173525268]",,,,"[0.010294262086972594, -0.02409261092543602]","[-0.12681724081994616, -0.01209474934876198]",,"[0.3592576547853241, 0.044002927374094725]",,"[0.286188575882079, -0.005813231135107344]",,"[-0.09343153488589451, -0.002987354644574225]",,,,"[-0.289983324692912, -0.030244948640756778]",
08 11 15 0 11 0.0000000,"[0.09003241293157771, 0.024593200263552717]",,"[0.028379868474985415, 0.008461482706479728]",,,,"[0.004803989082574844, -0.0109805460087955]","[-0.12775381497885974, -0.0018731483178271444]",,"[0.39567915980478574, 0.07284301003892324]",,"[0.2936650358087718, 0.014952919853385538]",,"[-0.09256762504810467, 0.001727819675579667]",,,,"[-0.29433517366942397, -0.008703697953023948]",
08 11 15 0 11 30.0000000,"[0.09093669077537925, 0.001808555687603075]",,"[0.03142373804530507, 0.006087739140639314]",,,,"[0.008073931094259024, 0.006539884023368359]","[-0.1366755118706351, -0.01784339378355071]",,"[0.4207729387198924, 0.050187557830213336]",,"[0.290548498937369, -0.006233073742805573]",,"[-0.10454933845903724, -0.02396342682186514]",,,,"[-0.320954926187369, -0.05323950503589003]",
08 11 15 0 12 0.0000000,"[0.09649962784351374, 0.011125874136268976]",,"[0.03240068378272554, 0.0019538914748409297]",,,,"[-0.0018650777637958527, -0.019878017716109753]","[-0.13918650410414557, -0.005021984467020957]",,"[0.4459716788787773, 0.050397480317769805]",,"[0.2960387722609994, 0.01098054664726078]",,"[-0.09442462876904756, 0.020249419379979372]",,,,"[-0.3320727286154579, -0.022235604856177815]",
08 11 15 0 12 30.0000000,"[0.101134066017039, 0.009268876347050536]",,"[0.03213424511432095, -0.0005328773368091788]",,,,"[-0.004117704927921295, -0.004505254328250885]","[-0.1474865052368841, -0.016600002265477087]",,"[0.4633871494570485, 0.034830941156542394]",,"[0.2911378960111506, -0.009801752499697614]",,"[-0.10157005680957809, -0.014290856081061065]",,,,"[-0.3505458851250296, -0.03694631301914342]",
08 11 15 0 13 0.0000000,"[0.10781928223786963, 0.01337043244166125]",,"[0.04009514205517917, 0.01592179388171644]",,,,"[0.004481031792238355, 0.0171974734403193]","[-0.1499329072121327, -0.004892803950497182]",,"[0.4781059269571415, 0.029437555000185966]",,"[0.2932936353026889, 0.004311478583076678]",,"[-0.09783990122377872, 0.0074603111715987325]",,,,"[-0.3650062944780075, -0.028920818705955753]",
08 11 15 0 13 30.0000000,"[0.10910303585114889, 0.0025675072265585186]",,"[0.03985292206652957, -0.0004844399772991892]",,,,"[-0.006556032691150904, -0.022074128966778517]","[-0.15581072979148303, -0.011755645158700645]",,"[0.492404858885493, 0.028597863856703043]",,"[0.2908956778001084, -0.004795915005161078]",,"[-0.1035562445758842, -0.011432686704210937]",,,,"[-0.381517485434415, -0.033022381912815035]",
08 11 15 0 14 0.0000000,"[0.1116463267699146, 0.005086581837531412]",,"[0.03975603549315565, -0.0001937731467478443]",,,,"[-0.00809815339744091, -0.0030842414125800133]","[-0.16086500820165384, -0.010108556820341619]",,"[0.5034984414487553, 0.022187165126524633]",,"[0.2983640642410137, 0.014936772881810612]",,"[-0.10943406715523452, -0.011755645158700645]",,,,"[-0.3984162250544614, -0.0337974792400928]",
08 11 15 0 14 30.0000000,"[0.11301081879992125, 0.0027289840600133175]",,"[0.041096308843407314, 0.002680546700503328]",,,,"[-0.004085409687831998, 0.008025487419217825]","[-0.1663310586955049, -0.010932100987702142]",,"[0.5239658574555506, 0.040934832013590494]",,"[0.3156099827237995, 0.034491836965571565]",,"[-0.10832793853478506, 0.002212257240898907]",,,,"[-0.42044190860724484, -0.044051367105566896]",
08 11 15 0 15 0.0000000,"[0.11443183056508133, 0.002842023530320148]",,"[0.044325878666313656, 0.006459139645812684]",,,,"[-0.01128735626116395, -0.014403893146663904]","[-0.17240265916370845, -0.012143200936407084]",,"[0.5320720842555602, 0.016212453600019217]",,"[0.318944516162901, 0.006669066878203012]",,"[-0.11173513811081648, -0.006814399152062833]",,,,"[-0.44111924710159656, -0.04135467698870343]",
08 11 15 0 15 30.0000000,"[0.1140119855872399, -0.000839689955682843]",,"[0.045714598859376565, 0.002777440386125818]",,,,"[0.015542317414656281, 0.05365934735164046]","[-0.17951579088366998, -0.01422626343992306]",,"[0.5416962105809944, 0.01924825265086838]",,"[0.32193994422505057, 0.005990856124299171]",,"[-0.12018046906450763, -0.01689066190738231]",,,,"[-0.45739629333365883, -0.03255409246412455]",
08 11 15 0 16 0.0000000,"[0.11904204768870841, 0.010060124202937004]",,"[0.045585413600747415, -0.0002583705172582995]",,,,"[0.0074683858547359705, -0.016147863119840622]","[-0.183229800686604, -0.007428019605868031]",,"[0.550553313065393, 0.017714204968797276]",,"[0.3109997673786893, -0.021880353692722565]",,"[-0.11731422448065132, 0.005732489167712629]",,,,"[-0.4698139999036357, -0.024835413139953744]",
08 11 15 0 16 30.0000000,"[0.11551373813927057, -0.007056619098875672]",,"[0.04508483020708809, -0.0010011667873186525]",,,,"[0.008025487652048469, 0.0011142035946249962]","[-0.1919254210042709, -0.017391240635333816]",,"[0.5593700457502564, 0.017633465369726764]",,"[0.3310473389992694, 0.04009514324116026]",,"[-0.13191189197823405, -0.029195334995165467]",,,,"[-0.48967587186416495, -0.039723743921058485]",
08 11 15 0 17 0.0000000,"[0.11933270740792068, 0.007637938537300215]",,"[0.043906033688472235, -0.002357593037231709]",,,,"[0.000702432356774807, -0.014646110590547323]","[-0.19861871486136806, -0.01338658771419432]",,"[0.5625027331498131, 0.006265374799113488]",,"[0.32545210502394184, -0.011190467950655147]",,"[-0.14209312025923282, -0.020362456561997533]",,,,"[-0.510595426791042, -0.04183910985375405]",
08 11 15 0 17 30.0000000,"[0.12031772603768331, 0.00197003725952527]",,"[0.04428551182991214, 0.000758956282879808]",,,,"[0.0034233464393764734, 0.005441828165203333]","[-0.20727396834263345, -0.01731050696253078]",,"[0.5663701457033312, 0.0077348251070361584]",,"[0.33371173635623563, 0.016519262664587586]",,"[-0.15051423019031063, -0.016842219862155616]",,,,"[-0.5283903737326909, -0.03558989388329792]",
08 11 15 0 18 0.0000000,"[0.12298212458063063, 0.005328797085894621]",,"[0.04288064822139859, -0.0028097272170271026]",,,,"[0.005700195673853159, 0.004553698468953371]","[-0.2136523743156431, -0.012756811946019297]",,"[0.5679284144353005, 0.0031165374639385846]",,"[0.3396622244581522, 0.011900976203833125]",,"[-0.15459156641736627, -0.008154672454111278]",,,,"[-0.5413005884320228, -0.02582042939866369]",
08 11 15 0 18 30.0000000,"[0.12711597698944388, 0.008267704817626509]",,"[0.04370418764938222, 0.0016470788559672656]",,,,"[0.003213423304259777, -0.004973544739186764]","[-0.2173906051684753, -0.007476461705664405]",,"[0.5828248181096569, 0.029792807348712813]",,"[0.3620512356233121, 0.0447780223303198]",,"[-0.16641987476032227, -0.023656616685912013]",,,,"[-0.5646988416492604, -0.046796506434475305]",
08 11 15 0 19 0.0000000,"[0.13096724494334921, 0.0077025359078106695]",,"[0.042638430602892186, -0.002131514092980069]",,,,"[0.001380641246214509, -0.003665564116090536]","[-0.22235606989852386, -0.009930929460097104]",,"[0.5781338637571025, -0.009381908705108799]",,"[0.3634803214677049, 0.00285817168878566]",,"[-0.175866374920588, -0.018893000320531428]",,,,"[-0.5818397988869037, -0.03428191447528661]",
08 11 15 0 19 30.0000000,"[0.13523027786959574, 0.008526065852493048]",,"[0.041346599354255886, -0.0025836624972725986]",,,,"[-0.0026482499670237303, -0.008057782426476479]","[-0.22455218254617648, -0.004392225295305252]",,"[0.5776171310189966, -0.001033465476211859]",,"[0.3707710817343468, 0.014581520533283765]",,"[-0.1821478942874819, -0.012563038733787835]","[0.006782102514989674, 0.013564205029979348]",,,"[-0.6040996283500135, -0.04451965892621956]",
08 11 15 0 20 0.0000000,"[0.13807230140082538, 0.005684047062459285]",,"[0.042614209552994, 0.0025352203974762233]",,,,"[4.036910831928253e-05, 0.005377238150686026]","[-0.23058340906391095, -0.012062453035468934]",,"[0.5847302651127393, 0.014226268187485402]",,"[0.3845048394182413, 0.02746751536778902]",,"[-0.1997329163714312, -0.035170044167898595]","[0.01740739628439769, 0.021250587538816035]",,,"[-0.608564513242527, -0.00892976978502702]",
08 11 15 0 20 30.0000000,"[0.14576675730222632, 0.015388911802801887]",,"[0.044713429701005225, 0.004198440296022454]",,,,"[0.0028904674109071493, 0.0057001966051757336]","[-0.23501599527116923, -0.008865172414516564]",,"[0.5915931086929049, 0.01372568716033129]",,"[0.3698587280337051, -0.029292222769072396]",,"[-0.20745159569196403, -0.015437358641065657]","[0.011230838659685105, -0.012353115249425173]",,,"[-0.6331092654781969, -0.04908950447133975]",
08 11 15 0 21 0.0000000,"[0.14898825660384318, 0.006442998603233718]",,"[0.04096712595492136, -0.007492607492167736]",,,,"[0.0002906613517552614, -0.005199612118303776]","[-0.24000568579504034, -0.009979381047742208]",,"[0.598560909369553, 0.013935601353296079]",,"[0.4004347061941189, 0.06115195632082759]",,"[-0.21812533208867535, -0.02134747279342264]","[0.029865472519304603, 0.037269267719238997]",,,"[-0.6463424385829057, -0.02646634620941768]",
08 11 15 0 21 30.0000000,"[0.15387298528912652, 0.00976945737056667]",,"[0.04352656266019039, 0.005118873410538072]",,,,"[0.0006297661457210779, 0.000678209587931633]","[-0.24174158070127305, -0.003471789812465431]",,"[0.5998850357464107, 0.0026482527537154965]",,"[0.4077254664607608, 0.014581520533283765]",,"[-0.23139887681463733, -0.026547089451923966]","[0.03671216644579545, 0.013693387852981687]",,,"[-0.6646944839121716, -0.03670409065853164]",
08 11 15 0 22 0.0000000,"[0.15824905768658937, 0.008752144794925698]",,"[0.045165568622905994, 0.0032780119254312012]",,,,"[-0.0016632305923849344, -0.004585993476212025]","[-0.2391821463661472, 0.005118868670251686]",,"[0.6151447658485267, 0.030519460204232015]",,"[0.4025662244353043, -0.010318484050912957]",,"[-0.23718788451515138, -0.011578015401028097]","[0.03998210874851793, 0.006539884605444968]",,,"[-0.6871803828353222, -0.04497179784630134]",
08 11 15 0 22 30.0000000,"[0.16447405735107168, 0.012449999328964623]",,"[0.04953356812802667, 0.008735999010241358]",,,,"[0.0005893970374017954, 0.00450525525957346]","[-0.24316259365150472, -0.007960894570715027]",,"[0.6375418510924646, 0.04479417048787582]",,"[0.41056749058452624, 0.01600253229844384]",,"[-0.2463679459760897, -0.01836012292187661]","[0.045456234365701675, 0.01094825123436749]",,,"[-0.705120658451051, -0.0358805512314575]",
