epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G31,G32
08 11 15 0 7 30.0000000,,"[0.04463269313782803, 0.02606265086978965]",,"[0.017326656972523224, 0.008574515213865652]",,,,"[0.017149030427731304, 0.03867413206819492]","[-0.09452958984184079, -0.01679377748587285]",,"[0.19781939544623128, 0.05252899826473367]",,"[0.22925928458425915, 0.09824359833874041]","[-0.07941519013729703, -0.010157005848668632]","[0.13571471442993044, 0.014323154461123977]",,,"[-0.20117815097182756, -0.00679825035695103]",
08 11 15 0 8 0.0000000,,"[0.0499776358606141, 0.010689885445572145]",,"[0.01598638436359323, -0.0026805452178599865]",,,,"[0.007767122165205365, -0.01876381652505188]","[-0.1113475891197595, -0.03363599855583743]",,"[0.2456089957745462, 0.09557920065662984]",,"[0.272406374446291, 0.08629417972406372]","[-0.09389174927764543, -0.0289531182806968]","[0.15270226617383997, 0.03397510348781907]",,,"[-0.2290897320726799, -0.05582316220170469]",
08 11 15 0 8 30.0000000,,"[0.05986012796165596, 0.019764984202083724]",,"[0.03165788532707925, 0.031343001926972036]",,,,"[0.006507588712963752, -0.002519066904483225]","[-0.11814583947852952, -0.013596500717540039]",,"[0.26622174312183233, 0.04122549469457226]",,"[0.21193262761153164, -0.12094749366951872]","[-0.0796170383810022, 0.028549421793286456]","[0.1707959466166642, 0.036187360885648445]",,,"[-0.24189498730629566, -0.025610510467231506]",
08 11 15 0 9 0.0000000,,"[0.06059485578407475, 0.0014694556448375806]",,"[0.02265545179743267, -0.01800486705929316]",,,,"[0.000500583690154599, -0.012014010045618306]","[-0.13330868285811448, -0.030325686759169912]",,"[0.27708925474212265, 0.02173502324058063]",,"[0.2519066624045081, 0.07994806958595291]","[-0.08617307075110148, -0.013112064740198548]","[0.19857027097226876, 0.055548648711209125]",,,"[-0.2524153200629371, -0.021040665513282875]",
08 11 15 0 9 30.0000000,,"[0.06563298900027803, 0.010076266432406555]",,"[0.025319849154318952, 0.005328794713772567]",,,,"[0.005078502868684609, 0.00915583835706002]","[-0.12739856500229507, 0.011820235711638816]",,"[0.33388128889646396, 0.11358406830868262]",,"[0.20825091484948643, -0.08731149511004332]","[-0.0782525439803976, 0.015841053541407746]","[0.22707932307623224, 0.05701810420792697]",,,"[-0.2628226177930628, -0.02081459546025144]",
08 11 15 0 10 0.0000000,,"[0.06807131630375807, 0.004876654606960074]",,"[0.025416736394246797, 0.00019377447985569063]",,,,"[0.00023414383593944876, -0.00968871806549032]","[-0.1362233720610675, -0.017649614117544843]",,"[0.34860006580311165, 0.02943755381329538]",,"[0.23956969509163173, 0.06263756048429059]","[-0.09036344121068396, -0.02422179446057271]","[0.22738613243471661, 0.0006136187169687446]",,,"[-0.2953282660819241, -0.06501129657772253]",
08 11 15 0 10 30.0000000,,"[0.07096985779253373, 0.005797082977551327]",,"[0.022631230005973002, -0.00557101277654759]",,,,"[0.0019538913259111723, 0.003439494979943447]","[-0.14629963864172169, -0.020152533161308384]",,"[0.3696568791790469, 0.04211362675187047]",,"[0.23585568660928402, -0.007428016964695416]","[-0.08534952978561705, 0.010027822850133816]","[0.24068389750178198, 0.02659553013413074]",,,"[-0.30886824913613964, -0.02707996610843111]",
08 11 15 0 11 0.0000000,,"[0.08643143645258533, 0.030923157320103197]",,"[0.03336148488198898, 0.021460509752031953]",,,,"[0.001001167528499991, -0.0019054475948223626]","[-0.15619827860246005, -0.01979727992147673]",,"[0.400329744505143, 0.061345730652192294]",,"[0.24946833509966382, 0.027225296980759595]","[-0.08382355673847997, 0.0030519460942741716]","[0.23640471404760888, -0.008558366908346215]",,,"[-0.32057544952840544, -0.023414400784531608]",
08 11 15 0 11 30.0000000,,"[0.10163464948482215, 0.030406426064473635]",,"[0.040636097213447187, 0.014549224662916416]",,,,"[-0.012466150301065682, -0.026934635659131345]","[-0.15764351245707076, -0.0028904677092214115]",,"[0.41005883237130547, 0.01945817573232489]",,"[0.238721932280896, -0.02149280563753564]","[-0.09288250781855822, -0.018117902160156518]","[0.23765617327300248, 0.002502918450787206]",,,"[-0.3360128066924517, -0.030874714328092523]",
08 11 15 0 12 0.0000000,,"[0.09214777997794954, -0.018973739013745217]",,"[0.03526693277315118, -0.010738328880592007]",,,,"[0.010294262555646583, 0.04552082571342453]","[-0.1582813528166298, -0.0012756807191180997]",,"[0.45379531929916084, 0.08747297385571073]",,"[0.24241171896937885, 0.00737957337696571]","[-0.09000818823187728, 0.00574863917336188]","[0.2519712538036316, 0.028630161061258264]",,,"[-0.34456310041059623, -0.01710058743628906]",
08 11 15 0 12 30.0000000,,"[0.10203027222678429, 0.019764984497669502]",,"[0.04855662398382066, 0.02657938242133895]",,,,"[-0.0007912451876563864, -0.02217101548660594]","[-0.16373933056638634, -0.010915955499513075]",,"[0.4689258668088314, 0.030261095019341155]",,"[0.2595930451716413, 0.03436265240452485]","[-0.09327005655632092, -0.0065237366488872794]","[0.2674732022639503, 0.03100389692063743]",,,"[-0.3467753573640948, -0.004424513906997163]",
08 11 15 0 13 0.0000000,,"[0.09892180854512844, -0.006216927363311697]",,"[0.04567423050380004, -0.005764786960041235]",,,,"[-0.01193327074076933, -0.02228405110622589]","[-0.16834147138797562, -0.009204281643178547]",,"[0.4649050488337707, -0.008041635950121417]",,"[0.23986035662164795, -0.039465377099986654]","[-0.09251918090967592, 0.001501751293289999]","[0.2891678561482678, 0.04338930776863492]",,,"[-0.35632681846254854, -0.019102922196907457]",
08 11 15 0 13 30.0000000,,"[0.10601879433170325, 0.01419397157314961]",,"[0.05289232517367193, 0.014436189339743777]",,,,"[0.0003875486633546643, 0.02464163880824799]","[-0.17752153153742256, -0.01836012029889389]",,"[0.5096749988638294, 0.08953990006011736]",,"[0.24473701124225045, 0.009753309241204988]","[-0.09189748818835142, 0.0012433854426490143]","[0.3041046294745371, 0.029873546652538607]",,,"[-0.3773028925352264, -0.04195214814535575]",
08 11 15 0 14 0.0000000,,"[0.11654720087153692, 0.021056813079667336]",,"[0.054660516172473805, 0.0035363819976037547]",,,,"[0.015841053540725625, 0.030907009754741924]","[-0.17813515040143102, -0.0012272377280169167]",,"[0.5126381315005801, 0.005926265273501485]",,"[0.22720043205845286, -0.03507315836759517]","[-0.10079496069556626, -0.017794945014429686]","[0.2911136736918607, -0.02598191156535279]",,,"[-0.40583616643016285, -0.05706654778987286]",
08 11 15 0 14 30.0000000,,"[0.11617580021720642, -0.0007428013086610008]",,"[0.0509626555651419, -0.0073957212146638085]",,,,"[0.008195040332793724, -0.015292026415863802]","[-0.19317688482442463, -0.030083468845987223]",,"[0.5425843436755713, 0.05989242434998232]",,"[0.2671906147079426, 0.07998036529897945]","[-0.09737161376187942, 0.006846693867373688]","[0.2922843937605748, 0.002341440137428208]",,,"[-0.4168328609375749, -0.02199338901482406]",
08 11 15 0 15 0.0000000,,"[0.12393484845188141, 0.015518096469349983]",,"[0.051915379436631603, 0.0019054477429794048]",,,,"[0.016430450762584314, 0.01647082085958118]","[-0.1970604458329035, -0.007767122016957727]",,"[0.5526363884648617, 0.020104089578580897]",,"[0.27251133555546403, 0.010641441695042886]","[-0.0983243376331302, -0.0019054477425015648]","[0.2852600733482902, -0.014048640824569247]",,,"[-0.4295493030840589, -0.025432884292968083]",
08 11 15 0 15 30.0000000,,"[0.1237491479023447, -0.00037140109907340957]",,"[0.04954971750774284, -0.004731323857777525]",,,,"[0.01375797932706746, -0.005344942871033709]","[-0.20407669216729118, -0.014032492668775376]",,"[0.5517078860143556, -0.0018570049010122605]",,"[0.2903950938016351, 0.03576751649234211]","[-0.11152521564554263, -0.026401756024824863]","[0.27474781452131936, -0.021024517653941643]",,,"[-0.4554746972844441, -0.0518507884007704]",
08 11 15 0 16 0.0000000,,"[0.12685761143620766, 0.006216927067725919]",,"[0.05532257854645195, 0.011545722077418219]",,,,"[0.03500856688646081, 0.042501175118786705]","[-0.20568340463069035, -0.003213424926798325]",,"[0.5637218966528508, 0.02402802127699033]",,"[0.312937510516349, 0.04508483342942782]","[-0.11131529345311719, 0.00041984438485087594]","[0.29342281810734505, 0.03735000717205139]",,,"[-0.4766122496694152, -0.04227510476994212]",
