epoch,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G22,G23,G25,G27,G28,G31,G32
08 11 15 0 7 30.0000000,"[0.2559858039021492, 0.05809026211500168]",,"[-0.13214541226625443, -0.1345999538898468]",,,,"[-0.1442663036286831, -0.20110652968287468]","[0.012113533914089203, -0.05445319041609764]",,"[-0.2907647527754307, -0.37207523360848427]",,"[-0.2660841681063175, 0.3402987830340862]",,"[-0.19801941514015198, 0.017325613647699356]",,,,"[-0.09152914956212044, -0.08145549520850182]",
08 11 15 0 8 0.0000000,"[-0.02427338808774948, 0.08152689784765244]",,"[-0.165712371468544, -0.21016056835651398]",,,,"[-0.12449032068252563, 0.4739907383918762]","[0.002698548138141632, 0.20635036379098892]",,"[-0.46437491849064827, -0.2659366838634014]",,"[-0.022342104464769363, -0.6624514162540436]",,"[0.041055552661418915, 0.19496386498212814]",,,,"[-0.24453066661953926, 0.4057551808655262]",
08 11 15 0 8 30.0000000,"[-0.19039775431156158, 0.2721237279474735]",,"[0.18445731699466705, 0.15375443920493126]",,,,"[-0.2942714989185333, -0.18817264214158058]","[-0.1401464119553566, 0.21576517447829247]",,"[-0.1082092821598053, -0.212919220328331]",,"[0.11568871140480042, -0.39222491160035133]",,"[-0.019017115235328674, 0.64766476303339]",,,,"[-0.1439356617629528, 0.3994051404297352]",
08 11 15 0 9 0.0000000,"[0.15952512994408607, -0.002298794686794281]",,"[-0.040466465055942535, -0.1331956796348095]",,,,"[-0.7646779380738735, 0.01797468215227127]","[-0.15971485525369644, 0.30157605931162834]",,"[-0.012476254254579544, -0.015113018453121185]",,"[-0.22960028424859047, -0.07638933137059212]",,"[0.37602777406573296, -0.009486030787229538]",,,,"[0.1263308860361576, 0.029484260827302933]",
08 11 15 0 9 30.0000000,"[0.027621731162071228, 0.3924533613026142]",,"[0.14010610431432724, -0.004794366657733917]",,,,"[-0.06723692268133163, 0.4487791731953621]","[0.012426957488059998, 0.4886741414666176]",,"[0.21811198443174362, -0.012170881032943726]",,"[0.09439219534397125, -0.2586730718612671]",,"[-0.19975286349654198, -0.310063686221838]",,,,"[-0.054205264896154404, 0.3949896991252899]",
08 11 15 0 10 0.0000000,"[0.05504155158996582, 0.17522965371608734]",,"[0.18435093760490417, 0.0965636819601059]",,,,"[0.10055182874202728, 0.1613296940922737]","[-0.21868105232715607, 0.21285253018140793]",,"[0.12248620018362999, 0.14193715155124664]",,"[0.08972068130970001, -0.14853812009096146]",,"[0.23382040113210678, 0.6389260143041611]",,,,"[-0.19550666585564613, 0.3227333724498749]",
08 11 15 0 10 30.0000000,"[0.026424996554851532, -0.10750077664852142]",,"[-0.18179276213049889, -0.2616697885096073]",,,,"[0.06546128541231155, 0.11450718343257904]","[0.08661391586065292, 0.5967719927430153]",,"[0.276814341545105, -0.02509220689535141]",,"[0.16835010051727295, -0.2820504605770111]",,"[0.07275036722421646, -0.48273075744509697]",,,,"[-0.01824023947119713, -0.1829405426979065]",
08 11 15 0 11 0.0000000,"[-0.12244611978530884, 0.2864583991467953]",,"[0.20528022944927216, -0.1299348920583725]",,,,"[0.2485014833509922, -0.018609285354614258]","[0.24586032330989838, 0.236650500446558]",,"[0.22838501259684563, 0.047785378992557526]",,"[-0.44115083292126656, -0.7966145277023315]",,"[0.20143099129199982, 0.46828922256827354]",,,,"[-0.18438275530934334, 0.02220746874809265]",
08 11 15 0 11 30.0000000,"[0.060515694320201874, 0.1457754224538803]",,"[0.0023488961160182953, 0.2633294574916363]",,,,"[0.33183829858899117, -0.2219879850745201]","[0.09555958583950996, 0.4348451867699623]",,"[0.1176002062857151, 0.22085778042674065]",,"[0.40704018995165825, 0.8903522714972496]",,"[0.07777275145053864, 0.3959243856370449]",,,,"[0.4104210324585438, 0.24355462193489075]",
08 11 15 0 12 0.0000000,"[0.06550994887948036, 0.24295488372445107]",,"[-0.034723103046417236, 0.0046412162482738495]",,,,"[0.22543297335505486, 0.04670250415802002]","[-0.1450338028371334, 0.3632654398679733]",,"[-0.24677134677767754, -0.5396153256297112]",,"[0.3178149610757828, -0.06171629950404167]",,"[-0.4289277568459511, 0.32020101696252823]",,,,"[-0.011586848646402359, -0.07182049751281738]",
08 11 15 0 12 30.0000000,"[-0.13619830459356308, 0.310067106038332]",,"[-0.3066035956144333, 0.6776560582220554]",,,,"[0.2224815972149372, -0.0961337462067604]","[-0.1321103349328041, 0.02392854541540146]",,"[0.22669005021452904, 0.26568712666630745]",,"[-0.0352877639234066, 0.043255843222141266]",,"[-0.05932219699025154, -0.1900002546608448]",,,,"[-0.28929388150572777, 0.08521593734622002]",
08 11 15 0 13 0.0000000,"[-0.04583519697189331, -0.09494373202323914]",,"[-0.02722710371017456, 0.04415971040725708]",,,,"[0.11341647803783417, -0.02082114666700363]","[-0.139318335801363, 0.32875956594944]",,"[-0.10413477197289467, 0.020644061267375946]",,"[-0.0013059042394161224, 0.3870845027267933]",,"[0.6369973234832287, 1.295784518122673]",,,,"[0.21491974964737892, 0.33274929970502853]",
08 11 15 0 13 30.0000000,"[0.08255724608898163, -0.34704701229929924]",,"[-0.03428439795970917, 0.5640072822570801]",,,,"[-0.4635857082903385, -0.5001588650047779]","[-0.2664121985435486, 0.07735680788755417]",,"[0.33410679176449776, -0.5384975410997868]",,"[-0.5171009972691536, -0.6246525421738625]",,"[0.07127695530653, 0.16881869360804558]",,,,"[-0.6936847977340221, 0.1796589083969593]",
08 11 15 0 14 0.0000000,"[-0.2033471316099167, -0.04195234179496765]",,"[0.029016438871622086, -0.11472995206713676]",,,,"[-0.20708295702934265, -0.7172618769109249]","[0.0030649155378341675, 0.3518485240638256]",,"[0.3637486360967159, 0.8435020335018635]",,"[0.11944355070590973, 0.1008257083594799]",,"[-0.014497887343168259, 0.41373494639992714]",,,,"[0.22732718661427498, 0.5260328203439713]",
08 11 15 0 14 30.0000000,"[0.24184072762727737, 0.31477149575948715]",,"[0.15573081001639366, 0.14351089298725128]",,,,"[-0.4764409586787224, 0.16995638608932495]","[-0.4269797205924988, 0.5026567354798317]",,"[0.06748438253998756, -0.16672231629490852]",,"[-0.2022397220134735, 0.23991688340902328]",,"[-0.27905355766415596, 0.07061378285288811]",,,,"[-0.04174347594380379, 0.3903101421892643]",
08 11 15 0 15 0.0000000,"[-0.1534070298075676, 0.5430819392204285]",,"[0.019263532012701035, 0.08131225034594536]",,,,"[-0.01352464035153389, -0.5629563257098198]","[-0.19157962501049042, 0.4996718242764473]",,"[-0.21574168279767036, 0.1892358660697937]",,"[-0.0765870213508606, -0.26512055844068527]",,"[-0.18543243408203125, 0.22489650920033455]",,,,"[-0.397491879761219, 0.16543936729431152]",
08 11 15 0 15 30.0000000,"[0.23553401976823807, 0.08985806629061699]",,"[-0.11404164880514145, 0.4805525839328766]",,,,"[0.06709718704223633, 0.08320459723472595]","[-0.3570842631161213, 0.604373037815094]",,"[0.34507815167307854, -0.014163792133331299]",,"[-0.003296591341495514, 0.31634651497006416]",,"[-0.10454136505723, 0.45947012677788734]",,,,"[-0.26980068907141685, -0.06926331296563148]",
08 11 15 0 16 0.0000000,"[0.09702592343091965, -0.05267414078116417]",,"[0.13179749995470047, -0.2246590219438076]",,,,"[-0.22257943078875542, -0.02664358913898468]","[-0.457820151001215, -0.125821765512228]",,"[-0.6279405429959297, 0.186296708881855]",,"[-0.32488979026675224, -0.223544143140316]",,"[-0.06421928852796555, 0.35591810569167137]",,,,"[-0.029326874762773514, -0.11466735973954201]",
08 11 15 0 16 30.0000000,"[-0.12717100232839584, 0.06674295291304588]",,"[0.057053230702877045, 0.07040007784962654]",,,,"[0.188117403537035, 0.03427208960056305]","[0.268625445663929, 0.09120805189013481]",,"[0.017549727112054825, 0.028250325471162796]",,"[0.3671245202422142, 0.3273451514542103]",,"[-0.17243582755327225, 0.238967377692461]",,,,"[-0.3615110144019127, 0.2533464580774307]",
08 11 15 0 17 0.0000000,"[0.13880138099193573, 0.41021548956632614]",,"[0.058188214898109436, 0.16707199811935425]",,,,"[0.3262724429368973, -0.41644947975873947]","[0.0216977521777153, 0.0756511352956295]",,"[0.24975688382983208, 0.6406880505383015]",,"[0.47207169979810715, -0.4349055550992489]",,"[0.18324824050068855, 0.4156521148979664]",,,,"[-0.4164533093571663, 0.6441866531968117]",
08 11 15 0 17 30.0000000,"[-0.11787652969360352, 0.4189245030283928]",,"[-0.1712578982114792, 0.3447749577462673]",,,,"[-0.09927485510706902, 0.6720720417797565]","[-0.11198956146836281, 0.18556391075253487]",,"[-0.19737093150615692, -0.2809205912053585]",,"[-0.24791733920574188, 0.4983499050140381]",,"[-0.1908322125673294, 0.018263719975948334]",,,,"[-0.19025122374296188, -0.38960137963294983]",
08 11 15 0 18 0.0000000,"[-0.26082851365208626, -0.48898086696863174]",,"[0.27142079174518585, -0.3810981959104538]",,,,"[-0.16379712149500847, 0.8194441571831703]","[-0.007350340485572815, -0.00830240547657013]",,"[0.21371913328766823, -0.3142184130847454]",,"[0.2578655928373337, 0.3534702807664871]",,"[-0.454251017421484, 0.2352432794868946]",,,,"[0.1103157214820385, 0.6218942329287529]",
08 11 15 0 18 30.0000000,"[-0.024848315864801407, -0.3093768246471882]",,"[0.2325557805597782, 0.29336028546094894]",,,,"[0.1579531915485859, 0.20421762764453888]","[-0.13644272834062576, 0.21713677048683167]",,"[0.29484112933278084, 0.13175511360168457]",,"[-0.014618657529354095, 0.3057807683944702]",,"[-0.07833296060562134, 0.24951500445604324]",,,,"[-0.10449738055467606, 0.19988995045423508]",
08 11 15 0 19 0.0000000,"[0.1733451634645462, 0.31432949379086494]",,"[0.0001185387372970581, 0.45850440114736557]",,,,"[-0.15043839812278748, 0.3761060982942581]","[-0.22837325185537338, 0.06325574219226837]",,"[0.3937917686998844, 0.0888630785048008]",,"[0.33339957147836685, -0.2336396388709545]",,"[-0.10394049435853958, 0.36619674041867256]","[0.043378934264183044, -2.3132428526878357]",,,"[-0.24086644500494003, 0.11278766021132469]",
08 11 15 0 19 30.0000000,"[0.2748301662504673, 0.27548908069729805]",,"[0.105754554271698, 0.1966329589486122]",,,,"[-0.33311234414577484, 0.1628495380282402]","[-0.015634775161743164, 0.18113155663013458]",,"[0.16114169359207153, -0.8239899761974812]",,"[0.504762414842844, -0.006412871181964874]",,"[0.06626688316464424, 0.2899366430938244]","[-0.5790669769048691, -2.414024654775858]",,,"[-0.41559749841690063, -0.15068738535046577]",
08 11 15 0 20 0.0000000,"[0.0738319605588913, -0.08639274537563324]",,"[0.1434672363102436, -0.27715642750263214]",,,,"[0.4766217730939388, 0.3486397862434387]","[0.12472430616617203, 0.4731214828789234]",,"[-0.05794180929660797, -0.35327934101223946]",,"[-0.03378704935312271, -0.27456751093268394]",,"[-0.32294120267033577, 0.3428208939731121]","[0.5212131328880787, -2.3575707599520683]",,,"[-0.10039853677153587, 0.07375769317150116]",
08 11 15 0 20 30.0000000,"[-0.00026359036564826965, -0.06046579033136368]",,"[0.16353634744882584, -0.0022627077996730804]",,,,"[-0.7426124401390553, 0.15952512994408607]","[-0.04981369525194168, 0.1588422991335392]",,"[0.3490408696234226, 0.08639916405081749]",,"[0.22561411559581757, 0.3580804392695427]",,"[-0.09652218595147133, -0.013792101293802261]","[-0.3880429230630398, -1.1782530695199966]",,,"[0.0944540686905384, 0.29996875673532486]",
08 11 15 0 21 0.0000000,"[-0.21244366094470024, 0.24561959132552147]",,"[0.0758853405714035, 0.33461468666791916]",,,,"[-0.6243699081242085, -0.1632535755634308]","[0.04608865827322006, 0.4337846077978611]",,"[0.06281507760286331, -0.45408957079052925]",,"[0.5066729485988617, 0.4871499761939049]",,"[-0.037031952291727066, -0.04649467393755913]","[-0.4604431241750717, -0.3583333007991314]",,,"[0.15916157886385918, -0.13452192395925522]",
