epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G31,G32
08 11 15 0 7 0.0000000,,"[0.09288987517356873, -0.08858854696154594]",,"[0.09936925023794174, 0.4615277908742428]",,,,"[0.8399960920214653, 0.7353728450834751]","[0.0037699155509471893, 0.27825771644711494]",,"[0.25136349722743034, 0.6940184831619263]",,"[0.3814702592790127, -0.09240478277206421]","[-0.11905325949192047, -0.07598152384161949]","[0.6526996567845345, 0.9944906942546368]",,,"[0.07772256433963776, -0.24437519535422325]",
08 11 15 0 7 30.0000000,,"[0.22139877825975418, 0.143081147223711]",,"[-0.028682880103588104, 0.10208239033818245]",,,,"[-0.28575822710990906, -0.15992094203829765]","[-0.20265835151076317, 0.2377590835094452]",,"[-0.7466484420001507, -0.5427632555365562]",,"[0.060617268085479736, -0.0664103701710701]","[0.027275722473859787, -0.24478353932499886]","[0.26602213084697723, 0.09824959561228752]",,,"[0.04721999913454056, 0.0447302907705307]",
08 11 15 0 8 0.0000000,,"[0.26958389952778816, 0.36146320402622223]",,"[0.3750329352915287, 0.19979628548026085]",,,,"[0.04884238541126251, 0.525235291570425]","[0.28302382677793503, 0.09643683582544327]",,"[1.046489018946886, -0.9295221529901028]",,"[-0.18894976750016212, -0.5874627158045769]","[0.2650221474468708, 0.3127056956291199]","[0.2857363931834698, 0.3671896271407604]",,,"[0.08466243743896484, -0.4433480016887188]",
08 11 15 0 8 30.0000000,,"[-0.18337541073560715, -0.4568817801773548]",,"[0.2520611509680748, 0.49868399649858475]",,,,"[0.0521966777741909, 0.11131306365132332]","[-0.006130203604698181, -0.3453166149556637]",,"[0.7987107150256634, -0.07788822799921036]",,"[0.08046428859233856, 0.45842234790325165]","[0.08629859611392021, 0.0018552802503108978]","[0.74326466396451, 1.1831875890493393]",,,"[-0.2685007154941559, 0.15614380314946175]",
08 11 15 0 9 0.0000000,,"[-0.32075784355401993, -0.24125632271170616]",,"[-0.042734500020742416, 0.2897963710129261]",,,,"[-0.04342801868915558, -0.07695893570780754]","[-0.11031186953186989, 0.030496034771203995]",,"[0.4479188024997711, 0.7120429165661335]",,"[0.4976867474615574, -0.6646561957895756]","[-0.05229426920413971, 0.04252344369888306]","[0.6358728520572186, 0.3460354916751385]",,,"[0.28433487191796303, 0.3926032930612564]",
08 11 15 0 9 30.0000000,,"[-0.19181817024946213, 0.8202615343034267]",,"[0.1312759555876255, 0.32871706783771515]",,,,"[0.12153004109859467, 0.13207746297121048]","[0.06954620406031609, -0.011103857308626175]",,"[0.6010710634291172, 0.5665740706026554]",,"[0.12631232291460037, -0.6703195981681347]","[-0.13878189772367477, 0.34307070076465607]","[0.497713316231966, 0.27120646089315414]",,,"[0.26555419713258743, 0.19726258143782616]",
08 11 15 0 10 0.0000000,,"[-0.0667266845703125, 0.46739868074655533]",,"[0.4464239105582237, 0.8851070143282413]",,,,"[0.22189243510365486, 0.5045112520456314]","[0.06172119081020355, 0.47833437472581863]",,"[0.6351279690861702, 0.6615430675446987]",,"[0.44218138605356216, -0.06989706307649612]","[-0.3129710629582405, 0.3115907087922096]","[0.2893664613366127, 0.822434913367033]",,,"[-0.20582259073853493, -0.634744681417942]",
08 11 15 0 10 30.0000000,,"[0.14079394564032555, 0.3947749696671963]",,"[-0.1105923280119896, 0.4507739171385765]",,,,"[-0.35827113687992096, 0.6198481246829033]","[-0.046633072197437286, 0.5661659799516201]",,"[1.2353072352707386, 0.35565440729260445]",,"[0.39560704305768013, 0.7080451957881451]","[-0.13222240284085274, 0.30521538108587265]","[-0.005575172603130341, 0.5373574942350388]",,,"[0.059096403419971466, -0.3762693479657173]",
08 11 15 0 11 0.0000000,,"[0.04708294942975044, 0.29898497834801674]",,"[-0.003535080701112747, 0.494079802185297]",,,,"[0.16014385968446732, -0.33952564001083374]","[-0.14779599756002426, 0.26354605332016945]",,"[0.6304449774324894, 0.9164939522743225]",,"[0.0637093111872673, 0.37894926965236664]","[0.16532310843467712, -0.04924479126930237]","[-0.18069972470402718, 0.19049552455544472]",,,"[-0.14214914664626122, -0.049150463193655014]",
08 11 15 0 11 30.0000000,,"[0.07104139775037766, 0.10861579701304436]",,"[-0.07582556828856468, -0.025904003530740738]",,,,"[-0.513949554413557, -0.30656448006629944]","[-0.17920000106096268, 0.45327620953321457]",,"[0.929766982793808, 0.6533512882888317]",,"[0.05240694433450699, 0.5152371115982533]","[-0.14403171092271805, 0.1341647394001484]","[0.28432729095220566, 0.2833138108253479]",,,"[-0.13402697816491127, -0.20943772420287132]",
