epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G31,G32
08 11 15 0 0 0.0000000,,,,,,,,,,,,,,,,,,,
08 11 15 0 0 30.0000000,,"[0.012458076073016855, 0.02491615214603371]",,"[0.0026482496432436164, 0.005296499286487233]",,,,"[-4.0369504858972505e-05, -8.073900971794501e-05]","[-0.013564204810109004, -0.027128409620218008]",,"[-0.007629865198396146, -0.015259730396792293]",,"[-0.0243429035290319, -0.0486858070580638]","[-0.007888231197284767, -0.015776462394569535]",,,,"[-0.012877920607934357, -0.025755841215868713]",
08 11 15 0 1 0.0000000,,"[0.01465418546285946, 0.004392218779685209]",,"[0.005587160636423505, 0.005877821986359777]",,,,"[-0.0037059342412248952, -0.007331129472731846]","[-0.020927630339883763, -0.014726851059549517]",,"[0.0031326854732469656, 0.021525101343286224]",,"[-0.00966449612587894, 0.029356814806305923]","[-0.00043599224682111526, 0.014904477900927303]",,,,"[-0.032562165652961994, -0.039368490090055275]",
08 11 15 0 1 30.0000000,,"[0.020402824857228552, 0.011497278788738186]",,"[0.005336868791346205, -0.000500583690154599]",,,,"[-0.005256129190456704, -0.003100389898463618]","[-0.026942709293166445, -0.012030157906565364]",,"[0.030826270598481642, 0.05538717025046935]",,"[-0.015041734422993613, -0.010754476594229345]","[-0.008655254518998845, -0.01643852454435546]","[0.017052143299224554, 0.03410428659844911]",,,"[-0.03653454004506784, -0.007944748784211697]",
08 11 15 0 2 0.0000000,,"[0.02436712487542536, 0.007928600036393618]",,"[0.006442997417252627, 0.0022122572518128436]",,,,"[-0.0004036965237901313, 0.009704865333333146]","[-0.03624387839897736, -0.018602338211621827]",,"[0.02557821489244816, -0.010496111412066966]",,"[0.03037413019410451, 0.09083172923419625]","[-0.02012831107367674, -0.022946113109355792]","[0.015929866831356776, -0.0022445529357355554]",,,"[-0.03705934552635881, -0.0010496109625819372]",
08 11 15 0 2 30.0000000,,"[0.02818609473615652, 0.007637939721462317]",,"[0.002026556996497675, -0.008832880841509905]",,,,"[-0.009341538312582998, -0.017875683577585733]","[-0.0341930997591362, 0.004101557279682311]",,"[0.022066054834795068, -0.007024320115306182]",,"[0.057114991224807454, 0.05348172206140589]","[-0.02747558885403123, -0.014694555560708976]","[0.02631294271486695, 0.020766151767020347]",,,"[-0.053667422612306837, -0.03321615417189605]",
08 11 15 0 3 0.0000000,,"[0.03148025837435853, 0.006588327276404016]",,"[0.012950586278748233, 0.021848058564501116]",,,,"[-0.007080837480316404, 0.004521401664533187]","[-0.043445825281992256, -0.018505451045712107]",,"[0.034677535588343744, 0.025222961507097352]",,"[0.03939271173294401, -0.03544455898372689]","[-0.03390243841022311, -0.012853699112383765]","[0.05211722773492511, 0.05160857004011632]",,,"[-0.07134933245197317, -0.035363819679332664]",
08 11 15 0 3 30.0000000,,"[0.027402923033150728, -0.008154670682415599]",,"[0.007783270173604251, -0.010334632210287964]",,,,"[-0.015881422896200093, -0.017601170831767377]","[-0.050050301197870795, -0.013208951831757076]",,"[0.0774209292139858, 0.08548678725128411]",,"[0.06939544097713224, 0.06000545848837647]","[-0.03764066867006477, -0.0074764605196833145]","[0.06392131558823166, 0.02360817570661311]",,,"[-0.09021003643920267, -0.037721407974459]",
08 11 15 0 4 0.0000000,,"[0.031447963245227584, 0.008090080424153712]",,"[0.010213523399215774, 0.004860506451223046]",,,,"[-0.004876654013060033, 0.02200953776628012]","[-0.05538716991623005, -0.010673737436718511]",,"[0.09014544514320733, 0.02544903185844305]",,"[0.09134846078541159, 0.0439060396165587]","[-0.04186333475900028, -0.008445332177871023]","[0.07209213427813665, 0.01634163737980998]",,,"[-0.09370604878404265, -0.006992024689679965]",
08 11 15 0 4 30.0000000,,"[0.03452413090781192, 0.0061523353251686785]",,"[0.009987453344365349, -0.0004521401097008493]",,,,"[-0.018860703690734226, -0.027968099355348386]","[-0.064785226187837, -0.018796112543213894]",,"[0.08516382929155952, -0.009963231703295605]",,"[0.11467404877566878, 0.04665117598051438]","[-0.04939631294018909, -0.01506595636237762]","[0.0782929135584709, 0.01240155856066849]",,,"[-0.12282871975367016, -0.05824534193925501]",
