epoch,G04,G08,G11,G17,G19,G20,G28,G32
08 11 15 4 53 30.0000000,,"[-0.33091814959155386, -0.016680716972407694]","[-0.07460312125104718, 0.01517901183799708]",,"[-0.48208638254078, -0.02606266598465512]",,"[0.1340837717382577, 0.005425686028674548]","[0.32975552019776266, 0.03883563794320288]"
08 11 15 4 54 0.0000000,,"[-0.361712133210391, -0.061587967237674235]","[-0.08403348391367782, -0.018860725325261285]",,"[-0.5059771486292097, -0.04778153217685943]",,"[0.1610184050264687, 0.05386926657642199]","[0.34877768442028323, 0.03804432844504113]"
08 11 15 4 54 30.0000000,,"[-0.3778357660200342, -0.03224726561928648]","[-0.08973367202078464, -0.011400376214213637]",,"[-0.519710911054783, -0.027467524851146452]",,"[0.14496742588491518, -0.032101958283107024]","[0.3688979233415557, 0.04024047784254492]"
08 11 15 4 55 0.0000000,,"[-0.39927205961148005, -0.042872587182891664]","[-0.09598289273548044, -0.012498441429391605]",,"[-0.5558901901563612, -0.07235855820315651]",,"[0.16781665834875348, 0.045698464927676596]","[0.38879210228550676, 0.03978835788790214]"
08 11 15 4 55 30.0000000,,"[-0.4112860705461969, -0.024028021869433758]","[-0.09889758416016026, -0.005829382849359632]",,"[-0.5576906753212096, -0.003600970329696862]",,"[0.1761166547397499, 0.016599992781992867]","[0.3973020176091717, 0.017019830647329925]"
08 11 15 4 56 0.0000000,,"[-0.43339249251443146, -0.04421284393646907]","[-0.09344768656450508, 0.010899795191310346]",,"[-0.5671533200731471, -0.018925289503874954]",,"[0.18617678368396184, 0.020120257888423865]","[0.40790308018792043, 0.02120212515749742]"
08 11 15 4 56 30.0000000,,"[-0.4550144934715661, -0.04324400191426925]","[-0.10514680487485606, -0.02339823662070195]",,"[-0.5906242482962397, -0.046941856446185204]",,"[0.19776286726386427, 0.023172167159804857]","[0.41428149564486816, 0.012756830913895456]"
08 11 15 4 57 0.0000000,,"[-0.4672707149118329, -0.02451244288053367]","[-0.11249409080472983, -0.01469457185974754]",,"[-0.5991503141481329, -0.01705213170378639]",,"[0.18905918353575935, -0.017407367456209855]","[0.4225330594183294, 0.016503127546922514]"
08 11 15 4 57 30.0000000,,"[-0.49028949472955663, -0.04603755963544742]","[-0.1092725962451615, 0.006442989119136655]",,"[-0.6058274622176427, -0.013354296139019617]",,"[0.21806074302849865, 0.05800311898547861]","[0.43013062637608, 0.015195133915501202]"
08 11 15 4 58 0.0000000,,"[-0.5124282177542474, -0.04427744604938155]","[-0.12029350617282208, -0.022041819855321165]",,"[-0.6324552828873901, -0.053255641339494675]",,"[0.2160503294474072, -0.004020827162182883]","[0.4343290714144761, 0.008396890076792118]"
08 11 15 4 58 30.0000000,,"[-0.5352693702121849, -0.045682304915874994]","[-0.11698318844978584, 0.006620635446072498]",,"[-0.6397137456537954, -0.014516925532810587]",,"[0.2250527647552243, 0.01800487061563416]","[0.42750660652521066, -0.013644929778530823]"
08 11 15 4 59 0.0000000,,"[-0.5544530302334136, -0.038367320042457465]","[-0.12082637876860769, -0.007686380637643709]",,"[-0.6552318427159887, -0.031036194124386626]",,"[0.2324646243472861, 0.014823719184123618]","[0.4092756569651046, -0.03646189912021214]"
08 11 15 4 59 30.0000000,,"[-0.5717635324545531, -0.034621004442279]","[-0.11670060636545276, 0.008251544806309852]",,"[-0.6683277588540797, -0.026191832276182048]",,"[0.23793875247707152, 0.010948256259570854]","[0.43066350845544044, 0.04277570298067168]"
08 11 15 5 0 0.0000000,,"[-0.6035586781191977, -0.06359029132928917]","[-0.11846071995151775, -0.003520227172129964]",,"[-0.6724777617913653, -0.008300005874571248]",,"[0.23634011572256508, -0.003197273509012888]","[0.4331502820088815, 0.004973547106882137]"
08 11 15 5 0 30.0000000,,"[-0.6207077129923535, -0.034298069746311555]","[-0.11195312871946772, 0.01301518246410005]",,"[-0.6834825306743726, -0.022009537766014553]",,"[0.2567187251611909, 0.04075721887725159]","[0.44098197946628037, 0.015663394914797735]"
08 11 15 5 1 0.0000000,,"[-0.6351761964240543, -0.028936966863401636]","[-0.11113766455577334, 0.0016309283273887587]",,"[-0.6990490793212509, -0.031133097293756684]",,"[0.2558144378340286, -0.0018085746543246017]","[0.4543282050829731, 0.026692451233385484]"
08 11 15 5 1 30.0000000,,"[-0.6385672478210829, -0.00678210279405711]","[-0.11338222760366445, -0.0044891260957822254]",,"[-0.7063801957557464, -0.014662232868990934]",,"[0.2741422621127798, 0.036655648557502474]","[0.48646244545538764, 0.06426848074482905]"
08 11 15 5 2 0.0000000,,"[-0.678395939353468, -0.07965738306477022]","[-0.12083445877450938, -0.01490446234168985]",,"[-0.7210101560190055, -0.029259920526518268]",,"[0.2672632656329279, -0.013757992959703813]","[0.5035065161204226, 0.03408814133006999]"
08 11 15 5 2 30.0000000,,"[-0.7080837967183751, -0.05937571472981418]","[-0.11777444104650048, 0.006120035456017803]",,"[-0.7159316636711522, 0.010156984695706583]",,"[0.2645342815739369, -0.005457968117982048]","[0.5229727582259844, 0.03893248421112361]"
08 11 15 5 3 0.0000000,,"[-0.7284543166675244, -0.04074103989829858]","[-0.11372940231733608, 0.008090077458328793]",,"[-0.7440612274096111, -0.05625912747691775]",,"[0.2798182291693321, 0.0305678951907904]","[0.5430122634732655, 0.040079010494562084]"
08 11 15 5 3 30.0000000,,"[-0.7587800108363387, -0.06065138833762873]","[-0.1186625683618594, -0.009866332089046637]",,"[-0.76891279344864, -0.04970313207805788]",,"[0.28316083846524975, 0.006685218591835351]","[0.5653851169976054, 0.04474570704867986]"
08 11 15 5 4 0.0000000,,"[-0.7625424579975943, -0.007524894322511244]","[-0.11536841065062564, 0.006588315422467517]",,"[-0.7858922714843364, -0.033958956071392654]",,"[0.2869717372111902, 0.007621797491880855]","[0.6076360084212427, 0.0845017828472745]"
08 11 15 5 4 30.0000000,,"[-0.7716579375194348, -0.018230959043680883]","[-0.12579185535316295, -0.02084688940507462]",,"[-0.7931749553012968, -0.0145653676339208]",,"[0.29139625171048333, 0.008849028998586306]","[0.6319223913244549, 0.048572765806424556]"
08 11 15 5 5 0.0000000,,"[-0.804825640994113, -0.06633540694935647]","[-0.1203257977457044, 0.010932115214917104]",,"[-0.773676412139278, 0.038997086324037644]",,"[0.2920340885143906, 0.0012756736078145536]","[0.6509365039917983, 0.03802822533468664]"
08 11 15 5 5 30.0000000,,"[-0.8425066821315532, -0.0753620822748804]","[-0.12863387414260252, -0.016616152793796246]",,"[-0.8185109613185763, -0.0896690983585966]",,"[0.2900075338886454, -0.004053109251490383]","[0.6790418656468518, 0.056210723310107014]"
08 11 15 5 6 0.0000000,,"[-0.869643154346531, -0.05427294442995567]","[-0.12698678580341038, 0.003294176678384275]",,"[-0.7977125140146129, 0.041596894607926815]",,"[0.30060053542864207, 0.0211860030799933]","[0.6967802857392309, 0.035476840184758274]"
08 11 15 5 6 30.0000000,,"[-0.9068720565621762, -0.07445780443129024]","[-0.12115742192120127, 0.01165872776441823]",,"[-0.8137957752454733, -0.032166522461720914]",,"[0.3089570539266502, 0.01671303699601623]","[0.7173445930599707, 0.041128614641479544]"
08 11 15 5 7 0.0000000,,"[-0.9291076732726626, -0.04447123342097292]","[-0.12214243343878106, -0.001970023035159585]",,"[-0.8470280808330654, -0.0664646111751841]",,"[0.3196630901970954, 0.021412072540890392]","[0.7231820369480806, 0.011674887776219833]"
08 11 15 5 7 30.0000000,,"[-0.9505601079087622, -0.042904869272199164]","[-0.12169836503931375, 0.0008881367989346245]",,"[-0.849716712280423, -0.005377262894715296]",,"[0.3329608547455285, 0.026595529096866244]","[0.7472988724974075, 0.04823367109865373]"
08 11 15 5 8 0.0000000,,"[-0.9719479499155224, -0.042775684013520276]","[-0.12661539003918332, -0.009834049999739136]",,,,"[0.33787787026182325, 0.009834031032589508]","[0.7710120112260501, 0.04742627745728534]"
08 11 15 5 8 30.0000000,,"[-1.0041790839737317, -0.06446226811641864]","[-0.13632025478024623, -0.019409729482125826]",,,,"[0.3514582358617391, 0.027160731199831645]","[0.7822509200922809, 0.022477817732461602]"
08 11 15 5 9 0.0000000,,"[-1.0243719860466696, -0.04038580414587578]","[-0.14360293859720663, -0.0145653676339208]",,,,"[0.3525159105309834, 0.00211534933848867]","[0.7977205750533649, 0.03093930992216798]"
08 11 15 5 9 30.0000000,,"[-1.0428290050676727, -0.036914038042006325]","[-0.14064789456089422, 0.005910088072624831]",,,,"[0.35946757016250075, 0.013903319263034675]","[0.8173563739963869, 0.03927159788604406]"
08 11 15 5 10 0.0000000,,"[-1.05918677786054, -0.03271554558573442]","[-0.14269867023719396, -0.004101551352599486]",,,,"[0.3587247596668961, -0.0014856209912093021]","[0.8283046302559578, 0.02189651251914171]"
