epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G31,G32
08 11 15 0 7 0.0000000,,"[-0.12450890988111496, -0.22712866216897964]",,"[-0.0962689071893692, -0.055538278073072433]",,,,"[0.3453999198973179, -0.2680135518312454]","[-0.5608332864940166, -0.1584351547062397]",,"[0.1287757009267807, 1.1500221565365791]",,"[0.16951626166701317, -0.42974549159407616]","[0.051888175308704376, -0.2668290548026562]","[0.5815618485212326, 0.4692649655044079]",,,"[0.032568082213401794, -0.14469215646386147]",
08 11 15 0 7 30.0000000,,"[-0.07711894065141678, 0.2283802069723606]",,"[0.0046312808990478516, 0.23104601353406906]",,,,"[0.01289023831486702, 0.5200726538896561]","[-0.3383610099554062, 0.04873869568109512]",,"[-0.8388179540634155, 0.21574559435248375]",,"[0.688706312328577, -0.35125966742634773]","[-0.10134144872426987, -0.4060535877943039]","[0.661846961826086, -0.1466367468237877]",,,"[-0.1782832331955433, -0.40287869796156883]",
08 11 15 0 8 0.0000000,,"[0.10178348049521446, 0.17838219925761223]",,"[0.17491954565048218, 0.26380779966712]",,,,"[-0.05208289623260498, 0.05741417035460472]","[-0.12347480654716492, -0.05898146331310272]",,"[0.4121870994567871, 0.3755231164395809]",,"[-0.08792692795395851, -0.7089440785348415]","[0.48746420070528984, 0.0010654479265213013]","[0.7349133752286434, -0.1518973670899868]",,,"[-0.03799313306808472, -0.2665526904165745]",
08 11 15 0 8 30.0000000,,"[-0.04204240068793297, 0.2964383102953434]",,"[-0.07848471403121948, 0.08255954086780548]",,,,"[-0.02287318930029869, -0.030870888382196426]","[-0.2519821636378765, -0.26415927335619926]",,"[0.314342625439167, -0.3302243612706661]",,"[-0.19881853833794594, 0.11340931057929993]","[-0.5961806923151016, -0.30797212198376656]","[-0.3197675682604313, -0.05147084221243858]",,,"[0.3629540912806988, -0.37363555654883385]",
08 11 15 0 9 0.0000000,,"[-0.04866162687540054, -0.432892307639122]",,"[0.18539142608642578, -0.321100614964962]",,,,"[-0.6743676550686359, 0.06827500462532043]","[-0.22076191380620003, 0.10510478541254997]",,"[0.3023481033742428, -0.5919499583542347]",,"[-0.5459151528775692, 0.48601509630680084]","[-0.8262383826076984, -0.34860511869192123]","[0.4114284999668598, 0.10063539445400238]",,,"[0.11232144385576248, -0.24640075117349625]",
08 11 15 0 9 30.0000000,,"[0.1754210889339447, 0.035169463604688644]",,"[-0.024390272796154022, -0.4508356936275959]",,,,"[0.00876528024673462, -0.21179378777742386]","[-0.235394686460495, -0.3372064083814621]",,"[0.5904532000422478, -0.5825361050665379]",,"[-0.0452394001185894, 0.39454222097992897]","[-0.26472078263759613, -0.3659762181341648]","[-0.9553215391933918, -0.047915857285261154]",,,"[0.25373660773038864, 0.38392627239227295]",
08 11 15 0 10 0.0000000,,"[0.1486898474395275, 0.19739603623747826]",,"[-0.17266738414764404, -0.2830747477710247]",,,,"[-0.1665687933564186, -0.7360307984054089]","[-0.21412589773535728, -0.03040413185954094]",,"[-0.024482358247041702, -0.3526899069547653]",,"[0.11010035872459412, 0.3831844665110111]","[-0.23109543323516846, -0.4431082084774971]","[-0.6035205870866776, -0.2319943867623806]",,,"[0.35716018453240395, 0.39258114621043205]",
08 11 15 0 10 30.0000000,,"[-0.04262423515319824, -0.01577945426106453]",,"[0.021922625601291656, -0.5115789286792278]",,,,"[0.045324988663196564, -0.2344614751636982]","[-0.00596831738948822, -0.20520465821027756]",,"[0.24281646311283112, -0.3661196492612362]",,"[-0.15884392708539963, -0.23921874165534973]","[-0.34822525829076767, -0.472268495708704]","[-0.2893640920519829, -0.30661432817578316]",,,"[0.08302640542387962, -0.14887134358286858]",
08 11 15 0 11 0.0000000,,"[-0.25353628396987915, 0.0833820328116417]",,"[0.03472883999347687, -0.5415577031672001]",,,,"[-0.27756157144904137, -0.45672227442264557]","[-0.15723751857876778, -0.16936219483613968]",,"[-0.4222925864160061, 0.028820060193538666]",,"[-0.17843593284487724, -0.574463490396738]","[-0.06339835003018379, -0.09284216538071632]","[0.22870049253106117, -0.2472306750714779]",,,"[0.24670721590518951, -0.2637892998754978]",
08 11 15 0 11 30.0000000,,"[0.04636752977967262, -0.32974210381507874]",,"[0.06016242876648903, -0.40026653930544853]",,,,"[-0.46077771857380867, -0.051228586584329605]","[-0.23614779114723206, -0.4008401744067669]",,"[-0.2646811902523041, -0.41874681785702705]",,"[0.042126841843128204, -0.4441220685839653]","[0.3678999990224838, 0.1278976947069168]","[0.453357957303524, 0.18191838264465332]",,,"[-0.11741723865270615, 0.2610222212970257]",
08 11 15 0 12 0.0000000,,"[0.17823807522654533, -0.048598140478134155]",,"[0.26587529852986336, -0.23566275835037231]",,,,"[0.03208617493510246, 0.3065759390592575]","[-0.06967014074325562, -0.05161307752132416]",,"[-0.5928595401346684, 0.07425518333911896]",,"[-0.025004159659147263, -0.6068036630749702]","[-0.37725941091775894, 0.5908673591911793]","[-0.1819244995713234, 0.3062591031193733]",,,"[-0.21634652093052864, 0.09573425725102425]",
08 11 15 0 12 30.0000000,,"[0.0061279721558094025, -0.11982624977827072]",,"[-0.0316774956882, 0.16000483557581902]",,,,"[0.1039300225675106, -0.543934766203165]","[-0.4592360779643059, 0.3896770104765892]",,"[0.46274230256676674, -0.5711994655430317]",,"[-0.36989153921604156, 0.055058035999536514]","[-0.08896118775010109, -0.6961157247424126]","[-0.05816451460123062, 0.3841084912419319]",,,"[-0.4159541018307209, 0.06725766882300377]",
08 11 15 0 13 0.0000000,,"[0.31943557411432266, -0.36973970010876656]",,"[-0.194535993039608, -0.316985908895731]",,,,"[-0.07503610476851463, -0.11027764901518822]","[-0.13761740550398827, -0.35351210832595825]",,"[-0.14397183433175087, -0.8394930399954319]",,"[0.6851767785847187, -0.034624941647052765]","[-0.006160896271467209, -0.2700204774737358]","[0.5617663711309433, 0.602561354637146]",,,"[-0.4897666722536087, -0.053306858986616135]",
08 11 15 0 13 30.0000000,,"[0.07934069633483887, -0.4350467808544636]",,"[-0.4731092117726803, 0.04827624931931496]",,,,"[0.04469722509384155, -0.09570451825857162]","[0.01506282389163971, -0.06743794307112694]",,"[0.48830127343535423, -0.08063362911343575]",,"[0.008029729127883911, -0.014856364578008652]","[0.4833790734410286, -0.39323629811406136]","[-0.11056045070290565, -0.36889807507395744]",,,"[-0.1148790493607521, 0.23934105411171913]",
08 11 15 0 14 0.0000000,,"[0.034233979880809784, -0.10901777818799019]",,"[-0.22163624688982964, 0.011443786323070526]",,,,"[-0.37891456112265587, 0.06875406578183174]","[0.04475247487425804, -0.23398932814598083]",,"[0.06493983045220375, -0.5648311078548431]",,"[0.15073943138122559, -0.07803530246019363]","[0.12809088453650475, -0.9080195501446724]","[-0.3014405071735382, -0.9278811737895012]",,,"[-0.04424882307648659, -0.5882370211184025]",
08 11 15 0 14 30.0000000,,"[0.09652593359351158, -0.6248717121779919]",,"[-0.567760918289423, 0.0818665400147438]",,,,"[0.0798160694539547, 0.5604812279343605]","[-0.18012728169560432, -0.10877770557999611]",,"[0.3743772357702255, -0.30663038417696953]",,"[0.5968529619276524, -0.682213019579649]","[-0.34496569260954857, -0.6567313820123672]","[-0.04875105619430542, -1.4557318463921547]",,,"[-0.27112166211009026, -1.2874295264482498]",
08 11 15 0 15 0.0000000,,"[-0.11224179714918137, -0.006591577082872391]",,"[-0.17750554531812668, -0.33950384333729744]",,,,"[-0.047963667660951614, 0.5219364799559116]","[-0.02274269610643387, 0.19908135756850243]",,"[-0.28942496329545975, -0.4584839828312397]",,"[0.5738725401461124, -0.36710338294506073]","[-0.4579748101532459, -0.6331147439777851]","[0.017086774110794067, -1.1266532763838768]",,,"[-0.11459315568208694, -0.8118962310254574]",
08 11 15 0 15 30.0000000,,"[0.09471418336033821, -0.11170854419469833]",,"[-0.2810104228556156, -0.0299379900097847]",,,,"[-0.4221402034163475, 1.0287101604044437]","[-0.2609968036413193, 0.1930711604654789]",,"[-0.22578462585806847, 0.15179162099957466]",,"[0.7581540085375309, -0.12979690730571747]","[-0.4211021736264229, -0.6414276100695133]","[0.24373747780919075, -0.7991319447755814]",,,"[-0.08963409066200256, -0.04712104797363281]",
08 11 15 0 16 0.0000000,,"[0.1728137694299221, -0.6413879059255123]",,"[-0.33512865751981735, 0.34321143850684166]",,,,"[-0.48975781723856926, 0.09944009408354759]","[-0.20438960194587708, -0.03995277360081673]",,"[-0.5245337039232254, 0.1277618259191513]",,"[0.143314678221941, -0.6967812404036522]","[0.05767267569899559, -0.45857029780745506]","[0.022841602563858032, -0.5046919956803322]",,,"[-0.17908170446753502, 0.1871281862258911]",
08 11 15 0 16 30.0000000,,"[0.44324543699622154, -0.4941265434026718]",,"[-0.22029340267181396, -0.0005073659121990204]",,,,"[-0.27904361858963966, 0.17135218158364296]","[-0.2769635394215584, -0.24013373255729675]",,"[-0.12389498203992844, -0.28598542883992195]",,"[0.6165815107524395, -0.08584203943610191]","[0.06433665379881859, -0.39093324542045593]","[0.026513881981372833, -0.14561280608177185]",,,"[-0.32908736169338226, 0.19053490087389946]",
08 11 15 0 17 0.0000000,,"[0.19552460312843323, -0.061876583844423294]",,"[0.11034838110208511, 0.40538179874420166]",,,,"[-0.4400348626077175, 0.545270286500454]","[-0.002606526017189026, 0.14499367028474808]",,"[-0.051058609038591385, -0.4458550550043583]",,"[-0.5448835790157318, -0.06772894412279129]","[-0.05106986314058304, -0.06178378686308861]","[0.021080560982227325, -0.031183823943138123]",,,"[0.18164071813225746, 0.40693003311753273]",
08 11 15 0 17 30.0000000,,"[0.17750485613942146, -0.05923376977443695]",,"[0.026175599545240402, 0.136634960770607]",,,,"[-0.43895723670721054, 0.17900191619992256]","[0.17219765484333038, -0.056213218718767166]",,"[0.10808618739247322, 0.181816216558218]",,"[-0.10251308605074883, -0.08194895461201668]","[0.39835918694734573, -0.10401088371872902]","[0.1998371221125126, -0.40505780652165413]",,,"[-0.07167201489210129, -0.02761576697230339]",
08 11 15 0 18 0.0000000,,"[-0.151631198823452, 0.13797329738736153]",,"[0.07103065028786659, 0.05814239755272865]",,,,"[-0.7151915654540062, -0.6254058890044689]","[-0.31454289704561234, -0.0486220121383667]",,"[-0.26943139731884, -0.1444324404001236]",,"[-0.5971647128462791, 0.29907842725515366]","[0.13379476219415665, -0.1789514720439911]","[0.13637546822428703, -0.9895587749779224]",,,"[0.04458391293883324, -0.7983252555131912]",
08 11 15 0 18 30.0000000,,"[0.025778628885746002, 0.042763713747262955]",,"[0.03222980722784996, 0.43844496086239815]",,,,"[-0.5845557972788811, 0.447928287088871]","[-0.433845367282629, 0.5393070392310619]",,"[0.033221639692783356, -0.8297286666929722]",,"[-0.7050394676625729, 0.4162309654057026]","[0.0033115819096565247, -0.4472554214298725]","[-0.2229713685810566, -0.799645908176899]",,,"[0.26819946616888046, -0.4214204251766205]",
08 11 15 0 19 0.0000000,,"[-0.06261442974209785, -0.22468990087509155]",,"[0.06748401373624802, 0.05578826740384102]",,,,"[-0.07369521632790565, -0.2848324626684189]","[-0.2688654363155365, 0.2148566022515297]",,"[0.05774616822600365, -1.2429821193218231]",,"[-0.5197795890271664, -0.03716352954506874]","[-0.028721243143081665, 0.2558985725045204]","[-0.02350657433271408, -0.3898056149482727]",,,"[0.011110343039035797, 0.1953182928264141]",
08 11 15 0 19 30.0000000,,"[0.24386128038167953, 0.17812611535191536]",,"[-0.23067916184663773, 0.0069527216255664825]",,,,"[-0.6905342265963554, -0.0017228126525878906]","[-0.022858891636133194, -0.3579636737704277]",,"[-0.23333311080932617, -0.4671870730817318]",,"[0.2204912044107914, 0.27400733157992363]","[-0.053412046283483505, 0.2258383259177208]","[0.38916167989373207, 0.30001989379525185]",,,"[0.4200114980340004, 0.2672889977693558]",
08 11 15 0 20 0.0000000,,"[0.03669261187314987, 0.23578044027090073]",,"[-0.09704397991299629, 0.12577089667320251]",,,,"[-0.04558137431740761, 0.12955928593873978]","[-0.33253688365221024, -0.2772981859743595]",,"[0.07258426025509834, -0.14088978245854378]",,"[-0.3172374740242958, 0.06572871282696724]","[0.28030405193567276, -0.36888134106993675]","[-0.2572646550834179, 0.09773974493145943]",,,"[0.20367247983813286, 0.6187432371079922]",
08 11 15 0 20 30.0000000,,"[-0.003466036170721054, -0.014629725366830826]",,"[-0.2960011325776577, 0.02801768109202385]",,,,"[0.1951015256345272, 0.04250159114599228]","[-0.16668961197137833, -0.396618340164423]",,"[-0.07394729182124138, 0.18550793826580048]",,"[0.20520742610096931, 0.25942594558000565]","[0.09654919430613518, -0.3854125738143921]","[0.2513490058481693, -0.22445474192500114]",,,"[0.04134679213166237, 0.08983050659298897]",
08 11 15 0 21 0.0000000,,"[0.1670648381114006, 0.3220926970243454]",,"[0.018168143928050995, -0.09700142219662666]",,,,"[-0.12784453108906746, -0.6136496551334858]","[-0.09938037022948265, 0.02067282795906067]",,"[0.12237999960780144, -0.45437313988804817]",,"[0.5658844709396362, -0.26208293810486794]","[0.44380614534020424, 0.25107405707240105]","[0.2759590335190296, -0.325288075953722]",,,"[-0.08533401787281036, 0.326622623950243]",
08 11 15 0 21 30.0000000,,"[0.10299745202064514, -0.011419661343097687]",,"[-0.05135560408234596, -0.0773761048913002]",,,,"[-0.29418791458010674, 0.2691534459590912]","[0.19486766681075096, -0.34802138060331345]",,"[0.39525656402111053, 0.7607939541339874]",,"[0.3147194907069206, -0.4521683305501938]","[0.08137302473187447, -0.10161086916923523]","[0.24738343432545662, -0.18938064202666283]",,,"[-0.11083200573921204, -0.16297870129346848]",
08 11 15 0 22 0.0000000,,"[-0.0822325348854065, 0.21288664266467094]",,"[-0.06463510915637016, -0.3286904953420162]",,,,"[-0.21331403031945229, 0.8172791413962841]","[-0.22876602411270142, -0.3281308077275753]",,"[0.6611460261046886, 0.34711121395230293]",,"[-0.049088459461927414, -0.0895671471953392]","[0.10218686237931252, -0.8496355824172497]","[0.07233497872948647, 0.20714836195111275]",,,"[0.26807044446468353, -0.2764970436692238]",
08 11 15 0 22 30.0000000,,"[-0.3878955990076065, 0.060444626957178116]",,"[-0.23537671193480492, -0.004714071750640869]",,,,"[-0.4125485233962536, 0.1768280230462551]","[-0.10081437602639198, -0.5543767586350441]",,"[0.8517566472291946, -0.5771373584866524]",,"[-0.2321883849799633, -0.07369548454880714]","[-0.031345266848802567, 0.034773945808410645]","[0.16100827977061272, 0.4008128046989441]",,,"[-0.14446835219860077, -1.4145533964037895]",
08 11 15 0 23 0.0000000,,"[0.08044547587633133, -0.15825869143009186]",,"[0.09862815216183662, 0.28264284133911133]",,,,"[-0.3625209145247936, -0.28370602801442146]","[-0.16793319955468178, -0.40779023244977]",,"[1.1442022137343884, -1.0829699337482452]",,"[-0.21265095099806786, 0.07743311300873756]","[0.02076910063624382, -0.07419318333268166]","[-0.25610772147774696, -0.2610075771808624]",,,"[0.15006506070494652, -1.150695826858282]",
08 11 15 0 23 30.0000000,,"[0.09025345742702484, 0.27758417278528214]",,"[-0.162376020103693, -0.21425224840641022]",,,,"[0.24871011078357697, -0.05101262405514717]","[-0.22556309774518013, -0.33686666190624237]",,"[0.04743403196334839, -1.2015025317668915]",,"[0.10179775953292847, 0.09420059993863106]","[-0.0853792168200016, -0.10902494564652443]","[-0.39888835698366165, 0.006902527064085007]",,,"[0.23661115765571594, -0.34002501517534256]",
08 11 15 0 24 0.0000000,,"[0.05830207094550133, 0.22872822731733322]",,"[-0.09100719541311264, -0.03678606078028679]",,,,"[-0.7697960212826729, 0.5541231594979763]","[-0.3000277876853943, 0.39548882842063904]",,"[-0.39156028255820274, -1.10348105058074]",,"[0.381865456700325, -0.6785731911659241]","[-0.09649372100830078, -0.17395896837115288]","[-0.19293099269270897, -0.07303861901164055]",,,"[-0.05766605958342552, 0.44694042950868607]",
08 11 15 0 24 30.0000000,,"[-0.2022908665239811, -0.16437533125281334]",,"[-0.3133787289261818, -0.030733566731214523]",,,,"[0.12456134706735611, 0.08850906789302826]","[-0.09338432550430298, 0.2798202186822891]",,"[0.013235572725534439, -0.6628349237143993]",,"[-0.8207235261797905, -0.4035993218421936]","[-0.1910228095948696, -0.3379964604973793]","[-0.24345026910305023, -0.2588237151503563]",,,"[-0.12424306571483612, 0.09992264211177826]",
08 11 15 0 25 0.0010000,,"[-0.01501539722084999, 0.284001637250185]",,"[-0.19660517945885658, 0.0975261889398098]",,,,"[-0.351205762475729, -0.5068118087947369]","[-0.3580559454858303, -0.09751204401254654]",,"[0.11963827535510063, -0.04287726804614067]",,"[-0.3457668833434582, -0.6405448876321316]","[0.23887449502944946, -0.1780429631471634]","[-0.8501112125813961, -0.3517219312489033]",,,"[0.3912453129887581, -0.09632160514593124]",
