epoch,G04,G08,G11,G17,G19,G20,G28,G32
08 11 15 4 53 30.0000000,,"[2.8762444837018846, 8.302739877750476]","[-0.12713905153796112, -0.36016305585702213]",,"[-3.6739637307201822, -0.821534002199769]",,"[-0.06410881246750577, -0.0897155748059344]","[-7.400544080932935, -8.136593806677395]"
08 11 15 4 54 0.0000000,,"[2.9301983622834085, 7.800597418596347]","[-0.4675574201159183, -0.4532858063777283]",,"[-2.2443475029741724, -0.212302440777421]",,"[-0.7791148063105844, -1.4271412388732028]","[-7.672500286300977, -8.0880777864986]"
08 11 15 4 54 30.0000000,,"[3.2618157325312493, 8.006881196548541]","[0.43145914645865524, -0.7705083568890885]",,"[-2.1458266130958994, -0.8651763740926981]",,"[0.7666146818237998, 0.43728321331242803]","[-8.023147065242132, -7.795821058683925]"
08 11 15 4 55 0.0000000,,"[2.7632318345829843, 7.647876788427432]","[0.08062193812802398, -0.944800355037053]",,"[-1.1369493059193094, -0.4345108065754175]",,"[-1.0433375325364374, -1.4336934880663943]","[-6.570618469317754, -8.472477737002903]"
08 11 15 4 55 30.0000000,,"[2.322126513533294, 7.436052177598079]","[-0.1796458411030475, -0.580213077863057]",,"[-1.7761036060129602, 0.06962763331830502]",,"[-0.7387807902259134, 1.1421236200879026]","[-6.351551774938901, -8.227068233423763]"
08 11 15 4 56 0.0000000,,"[1.9744847474619747, 7.8277266812821225]","[-0.3273216160945598, -0.506748043497403]",,"[-3.49937095263352, -0.9653567764908075]",,"[-0.5047867533129953, -0.6509306029727053]","[-7.084019500811895, -8.254371675782734]"
08 11 15 4 56 30.0000000,,"[2.9144334701821206, 6.820181940247615]","[-0.3736610534600917, -0.7696830709775284]",,"[-3.616300170806547, -0.14350573159754276]",,"[-1.7319353159827493, 0.06847202318410162]","[-7.422048199971517, -9.228894832664066]"
08 11 15 4 57 0.0000000,,"[2.6017596853896974, 6.388693739225467]","[-0.20868770508095658, -0.7435958464940384]",,"[-3.0104089877878626, 0.4310362692922354]",,"[-1.3449722167414926, 0.3130162014315534]","[-6.97180025657018, -8.317405569487148]"
08 11 15 4 57 30.0000000,,"[3.2974829582497476, 7.494374890377124]","[0.01383573086932266, -0.5008069654305771]",,"[-2.1526129148279627, -0.556790554895997]",,"[-1.4721244212550424, -0.30574375850458857]","[-7.623808670838674, -8.397429528766208]"
08 11 15 4 58 0.0000000,,"[3.1561289412900804, 7.246324483801921]","[0.34211042793467605, -0.5238614459832505]",,"[-2.7218683413540323, -1.3605057690292597]",,"[-0.9651255395573877, -0.048534576719005074]","[-8.756583888133367, -8.278555545144611]"
08 11 15 4 58 30.0000000,,"[2.940440578572452, 7.044663731505473]","[-0.28841182319447434, -0.2890833397706345]",,"[-3.463784401801725, -0.807273069396615]",,"[-1.1278579917115472, 0.13026923971871618]","[-6.519026968677839, -8.353678587012821]"
08 11 15 4 59 0.0000000,,"[1.9252070618793369, 6.014894579102595]","[0.32570651443675125, -0.37247466345628055]",,"[-2.4437182299171885, -0.7693026307970285]",,"[0.11721148227031009, 0.16225020127991918]","[-8.204884920318921, -8.156697931819492]"
08 11 15 4 59 30.0000000,,"[2.692546544782817, 7.29443428342541]","[-0.05085836080834305, 0.010581127802531398]",,"[-2.8927514157568415, -2.4624801073223352]",,"[0.8649772766667105, -0.5708336727072787]","[-8.142745439012845, -7.638156968288952]"
08 11 15 5 0 0.0000000,,"[2.8353985680267213, 7.110796664406855]","[-0.06388090280815995, -0.03313281436761173]",,"[-3.4365523509060343, -2.3069111946970224]",,"[0.43782780204589145, -1.2626111404349398]","[-6.547617454131444, -7.5960521578126485]"
08 11 15 5 0 30.0000000,,"[3.037193237058818, 6.752854962398608]","[0.1430192169733342, 0.20032358864943234]",,"[-2.6679667732988794, -0.755648473277688]",,"[-1.3822723862094186, -0.7847062842299533]","[-7.591278243859609, -8.100636529856258]"
08 11 15 5 1 0.0000000,,"[3.2540604753419755, 6.320038740088542]","[0.12109555574133957, 0.0727202365795776]",,"[-3.933259566811224, -2.4730560276657343]",,"[-0.1861873057050012, -0.502976437037189]","[-8.9006067999204, -8.565722498231464]"
08 11 15 5 1 30.0000000,,"[2.965460552088916, 5.671106745054324]","[-1.1462942707352344, -0.056551285584767186]",,"[-5.138971453097959, -1.8486476931720972]",,"[-0.3484862681788705, -0.29507594270010706]","[-6.073845002849897, -8.438337880306774]"
08 11 15 5 2 0.0000000,,"[3.997124878875911, 6.121125791718562]","[0.026417392212897184, 0.21723302404085842]",,"[-1.696798702267309, -2.3882218096405268]",,"[0.6290273580389716, -0.23526448470850703]","[-7.28564203162988, -8.362439769440227]"
