epoch,G03,G06,G07,G11,G13,G16,G19,G21,G23,G25,G27,G31
08 11 15 0 20 0.0000000,,,,,,,,,,,,
08 11 15 0 20 30.0000000,"[0.002414100918199935, 0.00482820183639987]","[-0.002341447250110592, -0.004682894500221184]",,,"[-0.0130393940310789, -0.0260787880621578]","[-0.010649514163433627, -0.021299028326867253]","[-0.019506613684345586, -0.03901322736869117]","[-0.011771800429166257, -0.023543600858332514]","[-0.0008396852142507072, -0.0016793704285014144]","[0.0030923187844662525, 0.006184637568932505]",,"[-0.028565561615599228, -0.057131123231198455]"
08 11 15 0 21 0.0000000,"[0.003245715610122879, 0.0016632293838458878]","[-0.005724418641237187, -0.00676594278225319]",,,"[-0.0021476598785206136, 0.02178346830511657]","[-0.015445433910528217, -0.00959183949418918]","[-0.004367992392281028, 0.030277242584129112]","[0.0012272315067045625, 0.02599806387174164]","[-0.010504187860103542, -0.01932900529170567]","[0.0024787125146890077, -0.0012272125395544897]",,"[-0.045205925976375266, -0.03328072872155208]"
08 11 15 0 21 30.0000000,"[0.004763618690637905, 0.0030358061610300524]","[-0.012918298261879131, -0.014387759241283889]",,,"[-0.005054280780873555, -0.005813241804705882]","[-0.02355166189708441, -0.016212455973112383]","[2.422105055499557e-05, 0.008784426885672048]","[-0.014226272926150196, -0.030907008865709514]","[-0.017003699086252766, -0.012999022452298448]","[0.004432594505194176, 0.003907763981010337]",,"[-0.05965827784699754, -0.028904703741244542]"
08 11 15 0 22 0.0000000,"[0.003649412430806187, -0.0022284125196634363]","[-0.017213618018919935, -0.008590639514081608]",,,"[-0.009632192105822668, -0.009155822649898226]","[-0.02488384812833566, -0.0026643724625025067]","[-0.0048282018364014245, -0.00970484577391284]","[-0.028888534245866015, -0.02932452263943164]","[-0.029978509971568812, -0.025949621770632092]","[0.00798511325020601, 0.007105037490023669]",,"[-0.08006110833617888, -0.04080566097836269]"
08 11 15 0 22 30.0000000,"[0.008792506891572849, 0.010286188921533324]","[-0.024480160791226946, -0.014533085544614022]",,,"[-0.014202032908444906, -0.009139681605244476]","[-0.027887372200058547, -0.00600704814344577]","[-0.0015098230746133368, 0.0066367575235761755]","[-0.04720020799638869, -0.036623347501045345]","[-0.03806858742989583, -0.016180154916654033]","[0.026256434389095418, 0.036542642277778814]",,"[-0.10008445357165655, -0.040046690470955326]"
08 11 15 0 23 0.0000000,"[0.009842120522066011, 0.002099227260986325]","[-0.03235223931098454, -0.01574415703951519]",,,"[-0.02232441142322994, -0.016244757029570067]","[-0.0348309423420986, -0.013887140284080113]","[0.015631141276216676, 0.034281928701660025]","[-0.04936401840313742, -0.004327620813497468]","[-0.04233969561995643, -0.008542216380121204]","[0.03764875904813292, 0.022784649318075]",,"[-0.12303864076004203, -0.04590837437677098]"
08 11 15 0 23 30.0000000,"[0.010811000478566868, 0.0019377599130017131]","[-0.04157267355737177, -0.01844086849277446]",,,"[-0.01451692553281081, 0.01561497178083826]","[-0.0415565325127184, -0.0134511803412396]","[0.030164217337255605, 0.02906615212207786]","[-0.05734106113101678, -0.015954085455758715]","[-0.04687724484969813, -0.0090750984594834]","[0.03154486463676709, -0.012207788822731658]",,"[-0.14963416985690767, -0.05319105819373127]"
08 11 15 0 24 0.0000000,"[0.019191740027129534, 0.01676147909712533]","[-0.04883921632967878, -0.014533085544614022]",,,"[-0.02111333044475394, -0.013192809823886265]","[-0.04325206295302009, -0.0033910608806033693]","[0.04087024412412599, 0.021412053573740764]","[-0.06895944576737634, -0.023236769272719116]","[-0.05868940737407158, -0.023624325048746897]","[0.02594154176472996, -0.011206645744074262]",,"[-0.16643602053281722, -0.033603701351819115]"
08 11 15 0 24 30.0000000,"[0.024577035509871337, 0.010770590965483606]","[-0.05202033931046351, -0.0063622459615694515]",,,"[-0.021089099910623688, 4.8461068260508e-05]","[-0.05327988135719974, -0.02005563680835931]","[0.038157391626213455, -0.005425704995825065]","[-0.057801280058712434, 0.022316331417327806]","[-0.06574602173013666, -0.014113228712130166]","[0.024746601830907267, -0.0023898798676453836]",,"[-0.18603144789705614, -0.03919085472847783]"
