epoch,G03,G06,G07,G08,G11,G13,G16,G19,G21,G23,G25,G27
08 11 15 1 7 30.0000000,"[-0.02900963001506618, -0.005619454433115401]","[-0.03176284460818701, 0.013644948745680452]","[0.12017240092004777, 0.016293218097829243]",,,"[-0.1332037149452252, -0.002470623025212504]","[-0.16377969962549122, -0.025707373330781547]","[0.11013649302639128, 0.01419395290254366]","[-0.14812434678229458, -0.010802929956240881]","[-0.2547163915860007, -0.00497352813973162]","[0.00582937336578393, -0.0013725957443346815]",
08 11 15 1 8 0.0000000,"[-0.02775009745190493, 0.002519065126322495]","[-0.033854001346845575, -0.004182313477317123]","[0.14725236051158874, 0.05415991918308194]",,,"[-0.14380479649112354, -0.021202163091796677]","[-0.17882951672123748, -0.03009963419149253]","[0.1190581946602165, 0.017843403267650437]","[-0.13106412558903147, 0.03412044238652623]","[-0.2609090996772596, -0.012385416182517872]","[0.0100924110335181, 0.008526075335468342]",
08 11 15 1 8 30.0000000,"[-0.025489402842936215, 0.004521389217937433]","[-0.03644572014125824, -0.005183437588825335]","[0.15693300420209644, 0.01936128738101539]",,,"[-0.15910489461474686, -0.03060019624724664]","[-0.19188506128054494, -0.026111089118614927]","[0.12991763723989358, 0.021718885159354162]","[-0.1458232711109675, -0.029518291043872043]","[-0.28439616894500563, -0.04697413853549204]","[0.0066771480695098084, -0.006830525928016584]",
08 11 15 1 9 0.0000000,"[-0.019425880010353724, 0.012127045665164982]","[-0.04426936604348075, -0.015647291804445018]","[0.18145353657210683, 0.04904106474002079]",,,"[-0.18121938710530827, -0.04422898498112282]","[-0.208355887771011, -0.0329416529809321]","[0.1375394252481994, 0.015243576016611637]","[-0.1380238652264496, 0.015598811769035771]","[-0.2987839187027146, -0.028775499515417913]","[0.007993183772532664, 0.0026320714060457107]",
08 11 15 1 9 30.0000000,"[-0.015970235983987058, 0.006911288052733333]","[-0.053497870812194925, -0.01845700953742835]","[0.18748476783180767, 0.012062462519401684]",,,"[-0.19315266436603284, -0.023866554521449146]","[-0.22214616282002098, -0.027580550098019962]","[0.14396626383910727, 0.012853677181815737]","[-0.16310955228155244, -0.05017137411020567]","[-0.3020619353692946, -0.006556033333160016]","[0.010907884680787294, 0.005829401816509261]",
08 11 15 1 10 0.0000000,"[-0.019385508431570386, -0.006830544895166657]","[-0.05598462539848548, -0.004973509172581103]","[0.19417804746239575, 0.013386559261176156]",,,"[-0.20561072473306652, -0.02491612073406735]","[-0.2310759254925978, -0.01785952534515367]","[0.15371958964843002, 0.01950665161864551]","[-0.17543037583473264, -0.02464164710636041]","[-0.30228800483019125, -0.0004521389217932992]","[0.013241242441420997, 0.004666715521267406]",
08 11 15 1 10 30.0000000,"[-0.021476665170228948, -0.004182313477317123]","[-0.05918998839697531, -0.0064107259969796715]","[0.19913544404104888, 0.009914793157306256]",,,"[-0.21831910406227717, -0.0254167586584213]","[-0.24225831225181693, -0.02236477351843824]","[0.15476918431177267, 0.0020991893266852912]","[-0.19099691499803573, -0.03113307832660617]","[-0.3071646582512777, -0.009753306842172904]","[0.015187063393174771, 0.003891641903507548]",
08 11 15 1 11 0.0000000,"[-0.024326744998420136, -0.005700159656382375]","[-0.06084514725849344, -0.003310317723036249]","[0.18889769722062577, -0.02047549364084622]",,,"[-0.22468135950742152, -0.012724510890288698]","[-0.2582608492922607, -0.032005074080887486]","[0.15662619158363267, 0.003714014543720001]",,"[-0.31715210507667413, -0.019974893650792858]","[0.023414396632505774, 0.016454666478662006]",
08 11 15 1 11 30.0000000,"[-0.025198740752700788, -0.0017439915085613045]","[-0.06275865767021527, -0.003827020823443661]","[0.18918835931086098, 0.0005813241804704106]",,,"[-0.23771268301617443, -0.026062647017505824]","[-0.2718008338298188, -0.027079969075116228]","[0.1633679322824808, 0.013483481397696284]",,"[-0.33363100208946683, -0.03295779402558541]","[0.023753500823851414, 0.000678208382691281]",
08 11 15 1 12 0.0000000,"[-0.03428998974041142, -0.018182497975421263]","[-0.06699748377096926, -0.00847765220150798]","[0.18015363243016225, -0.018069453761397458]",,,"[-0.2534407084946113, -0.03145605095687376]","[-0.2818448027622268, -0.020087937864815997]","[0.1693103403787133, 0.011884816192464953]",,"[-0.3556809019506897, -0.04409979972244571]","[0.02234056195145806, -0.002825877744786709]",
08 11 15 1 12 30.0000000,"[-0.04077335043833097, -0.012966721395839098]","[-0.07796188107519342, -0.02192879460844832]","[0.1874040341578158, 0.014500803455307132]",,,"[-0.2547406126365557, -0.002599808283888727]","[-0.30102039226112864, -0.038351178997803714]","[0.17354107698999077, 0.008461473222554972]",,"[-0.36532926355189055, -0.019296723202401722]","[0.020741925196951616, -0.003197273509012888]",
