epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G29,G31,G32
08 11 15 0 7 29.9970000,,"[0.1047188893717248, 0.033555256901308894]",,"[0.01768190984148532, 0.011384244658984244]",,,,"[-0.022970334754063515, 0.053627053697709925]","[-0.10965206327273336, -0.031052340502355946]",,"[0.1267526505398564, 0.02448016044218093]",,"[0.048621215391904116, -0.049686974438373]","[-0.06593979902390856, -0.007718679320532829]","[0.1335670486332674, 0.049977635933828424]",,,,"[-0.20737085654536713, 0.016164010315151245]",
08 11 15 0 7 59.9970000,,"[0.09880069995415397, -0.011836378835141659]",,"[0.016252822810201906, -0.0028581740625668317]",,,,"[-0.01574416593211936, 0.014452337643888313]","[-0.10756898920772073, 0.004166148130025249]",,"[0.14130187506088987, 0.02909844904206693]",,"[0.0855110083357431, 0.07377958588767797]","[-0.07017053859817679, -0.008461479148536455]","[0.15137006743043457, 0.03560603759433434]",,,,"[-0.24615802364041883, -0.0775743341901034]",
08 11 15 0 8 29.9970000,,"[0.08041635711560957, -0.0367686856770888]",,"[0.013031325885094702, -0.006442993850214407]",,,,"[-0.034120434680517064, -0.03675253749679541]","[-0.10984583775280043, -0.004553697090159403]",,"[0.17472795146750286, 0.06685215281322598]",,"[0.10249048634432256, 0.033958956017158926]","[-0.07503911912863259, -0.009737161060911603]","[0.16595158766722307, 0.029163040473576984]",,,,"[-0.2554430445889011, -0.01857004189696454]",
08 11 15 0 8 59.9970000,,"[0.08669787531835027, 0.012563036405481398]",,"[0.016818000018247403, 0.007573348266305401]",,,,"[-0.013426948029518826, 0.04138697330199648]","[-0.1231436028938333, -0.026595530282065738]",,"[0.18599108583293855, 0.02252626873087138]",,"[0.1431750270712655, 0.08136908145388588]","[-0.06959728968286072, 0.010883658891543746]","[0.17839351617658394, 0.024883857018721756]",,,,"[-0.23983613532845993, 0.03121381852088234]",
08 11 15 0 9 29.9970000,,"[0.07405409929924645, -0.02528755203820765]",,"[0.0053772391911479644, -0.022881521654198878]",,,,"[-0.016478894642204978, -0.006103893225372303]","[-0.1305070283870009, -0.014726850986335192]",,"[0.22135490545770153, 0.07072763924952596]",,"[0.15629516571061686, 0.026240277278702706]","[-0.065447289707663, 0.008299999950395431]","[0.1851917666836016, 0.013596501014035312]",,,,"[-0.276338379354911, -0.07300448805290216]",
08 11 15 0 9 59.9970000,,"[0.07512793160276487, 0.002147664607036859]",,"[0.009591830013960134, 0.00842918164562434]",,,,"[-0.011037065200071083, 0.010883658884267788]","[-0.12663961538783042, 0.007734825998340966]",,"[0.28054489771602675, 0.11837998451665044]",,"[0.14620275140623562, -0.020184828608762473]","[-0.06105506974563468, 0.008784439924056642]","[0.20705597296000633, 0.04372841255280946]",,,,"[-0.29645054271577465, -0.040224326721727266]",
08 11 15 0 10 29.9970000,,"[0.08896665112115443, 0.027677439036779106]",,"[0.02113755268510431, 0.023091445342288353]",,,,"[-0.01852159920235863, -0.014969068004575092]","[-0.1242739533099666, 0.004731324155727634]",,"[0.3503601828124374, 0.13963057019282132]",,"[0.14399049407802522, -0.004424514656420797]","[-0.07377151307809982, -0.025432886664930265]","[0.21983700654982385, 0.02556206717963505]",,,,"[-0.30855336584863835, -0.02420564626572741]",
08 11 15 0 10 59.9970000,,"[0.11356791955768131, 0.04920253687305376]",,"[0.011230838346818928, -0.019813428676570766]",,,,"[-0.03268327535261051, -0.028323352300503757]","[-0.1372406871541898, -0.0259334676884464]",,"[0.36648382421117276, 0.03224728279747069]",,"[0.1280283315863926, -0.03192432498326525]","[-0.07598376914029359, -0.004424512124387547]","[0.22153253210035473, 0.0033910511010617483]",,,,"[-0.3121785613780048, -0.00725039105873293]",
08 11 15 0 11 29.9970000,,"[0.12152074239565991, 0.015905645675957203]",,"[0.02305107376014348, 0.023640470826649107]",,,,"[-0.05174582656400162, -0.03812510242278222]","[-0.13617492832963762, 0.002131517649104353]",,"[0.3911577587132342, 0.04934786900412291]",,"[0.13001451874151826, 0.003972374310251325]","[-0.08620536662056111, -0.020443194960535038]","[0.23217397366715886, 0.021282883133608266]",,,,"[-0.3309988952682943, -0.03764066778057895]",
08 11 15 0 11 59.9970000,,"[0.11850109152146615, -0.0060393017483875155]",,"[0.024092610947263893, 0.002083074374240823]",,,,"[-0.028589791556441924, 0.04631207001511939]","[-0.14650956083460187, -0.020669265009928495]",,"[0.42533471051137894, 0.06835390359628946]",,"[0.14051870358525775, 0.02100836968747899]","[-0.06471256099757738, 0.04298561124596745]","[0.2592054964916315, 0.05406304564894526]",,,,"[-0.3372642665112835, -0.012530742485978408]",
08 11 15 0 12 29.9970000,,"[0.11552180984290317, -0.005958563357125968]",,"[0.02745136721205199, 0.006717512529576197]",,,,"[-0.05358668271583156, -0.04999378231877927]","[-0.15707026309610228, -0.02112140452300082]",,"[0.4574931795941666, 0.06431693816557527]",,"[0.10785157672944479, -0.06533425371162593]","[-0.07184184206198552, -0.014258562128816266]","[0.284412310582411, 0.050413628181559034]",,,,"[-0.3457903379940035, -0.017052142965439998]",
08 11 15 0 12 59.9970000,,"[0.11365673205000348, -0.0037301555857993662]",,"[0.021420139506517444, -0.012062455411069095]",,,,"[-0.0439867780332861, 0.019199809365090914]","[-0.16532989487313898, -0.016519263554073405]",,"[0.45462693413719535, -0.005732490913942456]",,"[0.12738241700571962, 0.03906168055254966]","[-0.07058230949769495, 0.0025190651285811327]","[0.286140132003311, 0.0034556428417999996]",,,,"[-0.36126806466290873, -0.030955453337810468]",
08 11 15 0 13 29.9970000,,"[0.10043163420050405, -0.02645019569899887]",,"[0.017924128645972814, -0.006992021721089259]",,,,"[-0.0668521527259145, -0.045730749385256786]","[-0.17539808737456042, -0.02013638500284287]",,"[0.4323348092730157, -0.04458424972835928]",,"[0.1470505140896421, 0.03933619416784495]","[-0.059351470561523456, 0.02246167787234299]","[0.2584546206599043, -0.055371022686813376]",,,,"[-0.38157400235513705, -0.04061187538445665]",
08 11 15 0 13 59.9970000,,"[0.10531636170344427, 0.009769455005880445]",,"[0.032868974420125596, 0.029889691548305564]",,,,"[-0.04741819923219737, 0.03886790698743425]","[-0.17933009211446915, -0.007864009479817469]",,"[0.4552889964543283, 0.04590837436262518]",,"[0.18498184435884468, 0.07586266053840518]","[-0.053086100502696354, 0.012530740117654204]","[0.2721318606827481, 0.027354480045687524]",,,,"[-0.4017184611416269, -0.0402889175729797]",
08 11 15 0 14 29.9970000,,"[0.11467404934228398, 0.018715375277679414]",,"[0.04087831583456136, 0.016018682828871533]",,,,"[-0.054192227944440674, -0.013548057424486615]","[-0.19442026997057837, -0.030180355712218443]",,"[0.48665622039698064, 0.06273444788530469]",,"[0.11733037230442278, -0.1353029441088438]","[-0.07495838011891465, -0.043744559232436586]","[0.2942705807436141, 0.04427744012173207]",,,,"[-0.4137566934232382, -0.024076464563222544]",
