epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G29,G31,G32
08 11 14 23 59 59.9960000,,,,,,,,,,,,,,,,,,,,
08 11 15 0 0 29.9960000,,"[0.004973541179424501, 0.009947082358849002]",,"[0.0019619655522546964, 0.003923931104509393]",,,,"[-0.005885896065592533, -0.011771792131185066]","[-0.010358853851357708, -0.020717707702715416]",,"[-0.011804087853306555, -0.02360817570661311]",,"[0.03215039475333015, 0.0643007895066603]","[-0.012684145238381461, -0.025368290476762922]",,,,,"[-0.014339302322014191, -0.028678604644028383]",
08 11 15 0 0 59.9960000,,"[0.004707102511019912, -0.0005328773368091788]",,"[0.00360097388511349, 0.003278016665717587]",,,,"[0.009341538314401987, 0.030454868759989043]","[-0.012175488655429945, -0.0036332696081444738]",,"[-0.01986187166403397, -0.01611556762145483]",,"[0.03156907175832657, -0.0011626459900071495]","[-0.012207784080601414, 0.000952722315560095]",,,,,"[-0.03499241906251882, -0.04130623348100926]",
08 11 15 0 1 29.9960000,,"[0.008744067161387648, 0.008073929300735472]",,"[-0.001485602024331456, -0.010173151818889892]",,,,"[0.009583757117979985, 0.0004844376071559964]","[-0.016228601759394223, -0.008106226207928557]",,"[0.025820432660111692, 0.09136460864829132]",,"[0.028274908416278777, -0.006588326684095591]","[-0.020959925319402828, -0.01750428247760283]","[-0.025142222674276127, -0.050284445348552254]",,,,"[-0.0399901826540372, -0.009995527183036756]",
08 11 15 0 1 59.9960000,,"[0.024891930504963966, 0.03229572668715264]",,"[0.0066125495122832945, 0.0161963030732295]",,,,"[0.02341440137479367, 0.02766128851362737]","[-0.02207412832058253, -0.011691053122376616]",,"[0.035000492660401505, 0.018360120000579627]",,"[0.06387287104269035, 0.07119592525282314]","[-0.021613913244436844, -0.0013079758500680327]","[-0.016688816343503277, 0.0169068126615457]",,,,"[-0.04818522309801665, -0.016390080887958902]",
08 11 15 0 2 29.9960000,,"[0.029720140641074977, 0.009656420272222022]",,"[0.009406130942807067, 0.0055871628610475454]",,,,"[0.018553894925389613, -0.009721012898808112]","[-0.029316445300537453, -0.014484633959909843]",,"[0.027879285378730856, -0.014242414563341299]",,"[0.06401012860192168, 0.0002745151184626593]","[-0.03040642606356414, -0.017585025638254592]","[0.010019748965532926, 0.053417130618072406]",,,,"[-0.07223746502700124, -0.04810448385796917]",
08 11 15 0 2 59.9960000,,"[0.022905743902811082, -0.01362879347652779]",,"[0.005135020381203503, -0.008542221123207128]",,,,"[0.021242513333163515, 0.005377236815547803]","[-0.03345837208462399, -0.008283853568173072]",,"[0.046352440702321474, 0.036946310647181235]",,"[0.06634349466071399, 0.0046667321175846155]","[-0.034055842050292995, -0.007298831973457709]","[0.05994894120613026, 0.09985838448119466]",,,,"[-0.07285108381802274, -0.001227237582043017]",
08 11 15 0 3 29.9960000,,"[0.03619543318745855, 0.02657937856929493]",,"[0.008485702570396825, 0.006701364378386643]",,,,"[0.029518293415094377, 0.016551560163861723]","[-0.04183911281870678, -0.016761481468165584]",,"[0.0653584751416929, 0.038012068878742866]",,"[0.1113879586235953, 0.09008892792576262]","[-0.04691761583490006, -0.025723547569214134]","[0.06383250236285676, 0.007767122313453001]",,,,"[-0.09445692446706744, -0.04321168129808939]",
08 11 15 0 3 59.9960000,,"[0.04145963645714801, 0.01052840653937892]",,"[0.010665662321116542, 0.004359919501439435]",,,,"[0.029477923614649626, -8.073960088950116e-05]","[-0.05136635197823125, -0.01905447831904894]",,"[0.07880964511059574, 0.026902339937805664]",,"[0.13434214581195647, 0.04590837437672235]","[-0.05004222619209031, -0.006249220714380499]","[0.07586266026919475, 0.02406031581267598]",,,,"[-0.10674544818630238, -0.02457704743846989]",
08 11 15 0 4 29.9960000,,"[0.0367525351302902, -0.00941420265371562]",,"[0.013653018082550261, 0.0059747115228674375]",,,,"[0.01626897215282952, -0.026417902923640213]","[-0.053255652008374454, -0.0037786000602864083]",,"[0.0837185954387678, 0.009817900656344136]",,"[0.14647726496309588, 0.024270238302278813]","[-0.04970312200020999, 0.0006782083837606478]","[0.07398143424370573, -0.003762452050978027]",,,,"[-0.12241694920521695, -0.03134300203782914]",
