epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G31,G32
08 11 15 0 7 0.0010000,,"[0.02852519952284638, 0.010415370619739406]",,"[0.008219262272632477, 0.0051511685396690154]",,,,"[-0.0063380363208125345, -0.00612004079084727]","[-0.09481217740903958, -0.027322184323566034]",,"[0.16396540061941778, 0.0009688716581877087]",,"[0.20217124449709445, 0.01842471174086313]","[-0.10411334655145765, -0.01689066465223732]","[0.11140410670691381, 0.1013439880612168]",,,"[-0.18914799306730856, -0.04345389951049583]",
08 11 15 0 7 30.0010000,,"[0.03404776916431729, 0.011045139282941818]",,"[-0.006168483928831847, -0.02877549240292865]",,,,"[-0.013951753510355047, -0.015227434379085025]","[-0.11379399050019856, -0.03796362618231797]",,"[0.19851375317148268, 0.0690967051041298]",,"[0.1901330125858749, -0.02407646382243911]","[-0.09702443469518585, 0.014177823712543614]","[0.14227882066575148, 0.061749427917675355]",,,"[-0.21902153942210134, -0.059747092709585566]",
08 11 15 0 8 0.0010000,,"[0.0391181981030968, 0.010140857877559029]",,"[-0.0038593393651353836, 0.004618289127392927]",,,,"[0.012127045220950095, 0.05215759746261028]","[-0.12001899164715724, -0.01245000229391735]",,"[0.23142309827971985, 0.06581869021647435]",,"[0.21733408772877283, 0.05440215028579587]","[-0.10115828765992774, -0.008267705929483782]","[0.1348992473861017, -0.01475914655929955]",,,"[-0.24079693305611727, -0.043550787268031854]",
08 11 15 0 8 30.0010000,,"[0.04342160349187907, 0.008606810777564533]",,"[-0.00040369667249251506, 0.006911285385285737]",,,,"[-0.009196208009598195, -0.04264650646109658]","[-0.13057162012592016, -0.021105256957525853]",,"[0.23753506410275804, 0.01222393164607638]",,"[0.23713944173107393, 0.0396107080046022]","[-0.11243756992018916, -0.02255856452052285]","[0.13447940285254845, -0.0008396890671065194]",,,"[-0.2623624036095862, -0.043130941106937826]",
08 11 15 0 9 0.0010000,,"[0.05004222738352837, 0.013241247783298604]",,"[-0.0018085608735418646, -0.002809728402098699]",,,,"[-0.025642806336691137, -0.032893196654185886]","[-0.14006656341553025, -0.018989886579220183]",,"[0.26809489529114217, 0.06111966237676825]",,"[0.24042553188360216, 0.006572180305056463]","[-0.11368095532623101, -0.002486770812083705]","[0.16420761868221234, 0.05945643165932779]",,,"[-0.26345238437352236, -0.002179961527872365]",
08 11 15 0 9 30.0010000,,"[0.056485224500647746, 0.012885994234238751]",,"[-0.0032860901524145447, -0.0029550585577453603]",,,,"[-0.01374183131792961, 0.023801950037523056]","[-0.14121306184097193, -0.0022929968508833554]",,"[0.2975485969654983, 0.05890740334871226]",,"[0.2254483888308414, -0.029954286105521533]","[-0.1225622800467363, -0.01776264944101058]","[0.20293019403698054, 0.07744515070953639]",,,"[-0.28425083226829884, -0.041596895789552946]",
08 11 15 0 10 0.0010000,,"[0.07329515014862409, 0.033619851295952685]",,"[0.0001291827397835732, 0.006830545784396236]",,,,"[-0.012094749202333333, 0.0032941642311925534]","[-0.14955343307156, -0.016680742461176123]",,"[0.3497950078112808, 0.10449282169156504]",,"[0.23875422797652845, 0.02661167829137412]","[-0.1100073165844151, 0.025109926924642423]","[0.1643610233616073, -0.07713834135074649]",,,"[-0.2963455816206988, -0.024189498704799917]",
08 11 15 0 10 30.0010000,,"[0.07678308841423132, 0.006975876531214453]",,"[0.005433755809917784, 0.010609146140268422]",,,,"[-0.0073472774834044685, 0.009494943437857728]","[-0.14782561150241236, 0.0034556431382952724]",,"[0.37030279361806606, 0.0410155716135705]",,"[0.2412652206542134, 0.005021985355369907]","[-0.1206326103271067, -0.02125058748538322]","[0.15120051503868126, -0.02632101664585207]",,,"[-0.3091669847126468, -0.025642806183896028]",
08 11 15 0 11 0.0010000,,"[0.08177277804497862, 0.009979379261494614]",,"[0.011650683025436592, 0.012433854431037616]",,,,"[-0.014000197093537281, -0.013305839220265625]","[-0.16000917408746318, -0.024367125170101644]",,"[0.3860227382015182, 0.03143988916690432]",,"[0.26033584690821954, 0.03814125250801226]","[-0.11631305703531325, 0.008639106583586909]","[0.18605567724580396, 0.0697103244142454]",,,"[-0.3332192267444043, -0.048104484063514974]",
08 11 15 0 11 30.0010000,,"[0.08643951045814902, 0.009333464826340787]",,"[0.005990857013784989, -0.011319652023303206]",,,,"[-0.021355548507472122, -0.014710702827869682]","[-0.16657328061046428, -0.013128213046002202]",,"[0.44304084240911834, 0.11403620841520024]",,"[0.2497024790498017, -0.021266735716835683]","[-0.11870294075561105, -0.004779767440595606]","[0.2171322395408879, 0.06215312459016786]",,,"[-0.3519668957051181, -0.03749533792142756]",
08 11 15 0 12 0.0010000,,"[0.09452958969632164, 0.01618015847634524]",,"[0.01450078078369188, 0.01701984753981378]",,,,"[-0.026337164358665177, -0.00996323170238611]","[-0.17003699723500176, -0.006927433249074966]",,"[0.45184950160728476, 0.01761731839633285]",,"[0.26872466172085296, 0.03804436534210254]","[-0.11780673436044253, 0.001792412790337039]","[0.1478821290158976, -0.1385002210499806]",,,"[-0.36298781156074256, -0.02204183171124896]",
08 11 15 0 12 30.0010000,,"[0.08747297385707498, -0.014113231678493321]",,"[0.015760314236104023, 0.0025190669048242853]",,,,"[-0.021589692936231586, 0.009494942844867182]","[-0.18284225261595566, -0.02561051076190779]",,"[0.4622487249630467, 0.020798446711523866]",,"[0.2600290374756469, -0.01739124849041218]","[-0.10975702466532766, 0.01609941939022974]","[0.1764557727119609, 0.0571472873921266]",,,"[-0.39144034644778003, -0.056905069774074946]",
08 11 15 0 13 0.0010000,,"[0.08422725320997415, -0.00649144129420165]",,"[0.01552617025163272, -0.0004682879689426045]",,,,"[-0.024649712738664675, -0.006120039604866179]","[-0.1895678373039118, -0.013451169375912286]",,"[0.4895789833640265, 0.0546605168019596]",,"[0.2593750490320872, -0.0013079768871193664]","[-0.11096004041894503, -0.0024060315072347294]","[0.20120237261653529, 0.04949319980914879]",,,"[-0.3961232267211017, -0.009365760546643287]",
08 11 15 0 13 30.0010000,,"[0.08815925780072575, 0.007864009181503206]",,"[0.018303602635569405, 0.005554864767873369]",,,,"[-0.02054815575502289, 0.00820311396728357]","[-0.17839351617658394, 0.022348642254655715]",,"[0.49985709850307103, 0.02055623027808906]",,"[0.25768759733819024, -0.0033749033877938928]","[-0.13014370166263234, -0.03836732248737462]","[0.21129478705825022, 0.020184828883429873]",,,"[-0.41132643975288374, -0.03040642606356414]",
08 11 15 0 14 0.0010000,,"[0.09271295578218997, 0.009107395962928422]",,"[0.015130547509670578, -0.006346110251797654]",,,,"[-0.02343054908715203, -0.005764786664258281]","[-0.1977790256460139, -0.038771018938859925]",,"[0.5227709155947196, 0.04582763418329705]",,"[0.263242462179619, 0.011109729682857505]","[-0.12535586029139267, 0.00957568274247933]","[0.21768126696201762, 0.01277295980753479]",,,"[-0.41931963212118717, -0.01598638473660685]",
08 11 15 0 14 30.0010000,,"[0.09460225521615939, 0.003778598867938854]",,"[0.018675003437692794, 0.007088911856044433]",,,,"[-0.034241543341977376, -0.02162198850965069]","[-0.18784001603125944, 0.019878019229508936]",,"[0.5241677060134862, 0.002793580837533227]",,"[0.27741221196151855, 0.02833949956379911]","[-0.13197648410528018, -0.01324124762777501]","[0.21301453440014484, -0.009333465123745555]",,,"[-0.4460039754922036, -0.05336868674203288]",
