epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G31,G32
08 11 15 0 0 0.0000000,,0.645306354155764,,0.6371778961038217,,,,0.602210431243293,0.7009095265821088,,0.6130253067240119,,0.42101253633154556,0.5932263482827693,36506.58895780344,,,0.5857207387452945,
08 11 15 0 0 30.0000000,,2.223151790909469,,2.195884971995838,,,,2.145201653940603,2.2301478013105225,,2.2491225886624306,,2.3609203256201,2.258609983487986,-18253.49698883181,,,2.2198110714089125,
08 11 15 0 1 0.0000000,,-3.4975138739682734,,-3.4691523562651128,,,,-3.4719394345302135,-3.51034828054253,,-3.537608808139339,,-3.592054370092228,-3.462816942075733,-3.3548380691645434,,,-3.435411710292101,
08 11 15 0 1 30.0000000,,3.1340674199163914,,3.1828255800064653,,,,3.193653035443276,3.187456031795591,,3.2456889983732253,,3.2999898601556197,3.13263928075321,3.1355396043218207,,,3.0980241333600134,
08 11 15 0 2 0.0000000,,-1.3530420185998082,,-1.5128114932449535,,,,-1.616071833530441,-1.5004803984775208,,-1.4704705363838002,,-1.5512517967727035,-1.4544589894940145,-1.5187253868207335,,,-1.4316024227300659,
08 11 15 0 2 30.0000000,,-1.2172238156199455,,-1.131428332068026,,,,-1.0484388021286577,-1.1235704029677436,,-1.1872831613291055,,-1.2239744593389332,-1.2021056393859908,-1.0936612053774297,,,-1.0946489521302283,
08 11 15 0 3 0.0000000,,1.5676722871139646,,1.6893663570517674,,,,1.74230198841542,1.6445528904732782,,1.6645720468368381,,1.8248574121389538,1.694053430634085,1.6345558954344597,,,1.5133840107591823,
08 11 15 0 3 30.0000000,,0.620612703030929,,0.525782807264477,,,,0.41574665368534625,0.6258848776051309,,0.5519738025031984,,0.41418010205961764,0.5394036339712329,0.5898227149737068,,,0.6362153140362352,
08 11 15 0 4 0.0000000,,-2.4550959190819412,,-2.5493533053668216,,,,-2.442343303002417,-2.603389925643569,,-2.5272013725480065,,-2.4612866337411106,-2.5474407256697305,-2.565603926166659,,,-2.4703776706010103,
08 11 15 0 4 30.0000000,,0.19480614084750414,,0.25497056310996413,,,,0.22563388012349606,0.30231316035497,,0.27836818632204086,,0.30081581289414316,0.2899883561185561,0.28191023046383634,,,0.16689760144799948,
08 11 15 0 5 0.0000000,,1.6479879803955555,,1.740873844595626,,,,1.6758461899589747,1.6708005079126451,,1.6681581297889352,,1.578103385749273,1.6806213447707705,1.706334195099771,,,1.7196215781150386,
08 11 15 0 5 30.0000000,,0.07156439335085452,,-0.025454904534853995,,,,0.028273439733311534,0.054168740287423134,,0.037339313072152436,,0.07168392871972173,0.03277177253039554,0.014778440177906305,,,0.07235081505496055,
08 11 15 0 6 0.0000000,,0.5292871035635471,,0.6007445423165336,,,,0.528878164710477,0.5222848023404367,,0.60871571325697,,0.5770323497708887,0.5367046354222111,0.5463052726117894,,,0.49747161904815584,
08 11 15 0 6 30.0000000,,-1.3451778031885624,,-1.451596412807703,,,,-1.2359406561590731,-1.3816803612280637,,-1.4392590259667486,,-1.4641351249301806,-1.423436219105497,-1.3597800836432725,,,-1.408311752951704,
08 11 15 0 7 0.0000000,,-2.1782565398607403,,-2.0715736909769475,,,,-2.3415303064975888,-2.0590790187125094,,-2.150907931383699,,-2.048421429237351,-2.1024895074078813,-2.137909950397443,,,-2.0272194945719093,
08 11 15 0 7 30.0000000,,3.018645856063813,,2.8969643668970093,,,,3.0910469971131533,2.887835580477258,,2.9811115090269595,,2.9603814287111163,2.9665532670915127,2.9686986259184778,,,2.848759848973714,
08 11 15 0 8 0.0000000,,1.377760831732303,,1.4931509458692744,,,,1.276910092914477,1.3879465709323995,,1.4750884084496647,,1.4182772890198976,1.3893935868982226,1.4154147151857615,,,1.5407766572898254,
08 11 15 0 8 30.0000000,,-2.180125074693933,,-2.264341425267048,,,,-2.0097986795008183,-2.0701077995472588,,-2.254583502886817,,-2.2882863980485126,-2.136985117685981,-2.1656423318199813,,,-2.3116525667719543,
08 11 15 0 9 0.0000000,,-1.5529253056738526,,-1.4934277668362483,,,,-1.5761908069252968,-1.5884778635227121,,-1.5508491471409798,,-1.4126905505545437,-1.595964599691797,-1.545809757313691,,,-1.5074449521489441,
08 11 15 0 9 30.0000000,,3.4762867789249867,,3.4948652061866596,,,,3.506875443039462,3.525026059243828,,3.58963848114945,,3.387584678013809,3.476821542310063,3.4954754705540836,,,3.5455988574540243,
08 11 15 0 10 0.0000000,,-2.4856090925168246,,-2.5842767279827967,,,,-2.837737362133339,-2.6289832398178987,,-2.649140806403011,,-2.4329314072383568,-2.5032438156194985,-2.5662393554812297,,,-2.588013806613162,
08 11 15 0 10 30.0000000,,0.5706403118092567,,0.617316025076434,,,,1.0076455255039036,0.628187520604115,,0.6540954043157399,,0.4990759197389707,0.5859661023132503,0.6855459881480783,,,0.6484205861343071,
