epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G29,G31,G32
08 11 15 0 6 59.9960000,,"[0.12820171564817429, 0.15143824741244316]",,"[-0.16249526664614677, -0.2214793674647808]",,,,"[0.2868310399353504, 0.24036233872175217]","[0.05938597768545151, 0.12630422785878181]",,"[0.5541207417845726, -0.11647235974669456]",,"[0.06084098666906357, 0.16560250893235207]","[0.25541987642645836, 0.7580659464001656]","[-0.1452658697962761, -0.6284031197428703]",,,,"[-0.2877802103757858, 0.4362899176776409]",
08 11 15 0 7 29.9960000,,"[-0.2444082722067833, -0.16788850724697113]",,"[0.026850812137126923, -0.18614723160862923]",,,,"[0.3584440015256405, -0.3699955679476261]","[-0.1352885365486145, -0.05687486007809639]",,"[0.1737433783710003, 0.4660652354359627]",,"[-0.22142016515135765, -0.14588921144604683]","[0.13278129324316978, -0.30671756714582443]","[0.07888053357601166, 0.13359384983778]",,,,"[0.18377356603741646, 0.35688019543886185]",
08 11 15 0 7 59.9960000,,"[-0.01188570261001587, -0.04330413416028023]",,"[-0.4683925062417984, -0.2757606618106365]",,,,"[0.21942441910505295, -0.5882609076797962]","[-0.3985096998512745, -0.41986575722694397]",,"[-0.11223186552524567, -1.2165989615023136]",,"[0.11253727227449417, 0.2181658148765564]","[-0.15889523178339005, 0.07577842846512794]","[0.2098493054509163, -0.9486806951463223]",,,,"[0.28122783079743385, 0.06579913198947906]",
08 11 15 0 8 29.9960000,,"[0.09588548168540001, 0.09849272668361664]",,"[0.07947337254881859, -0.1641535982489586]",,,,"[0.026164613664150238, 0.028733376413583755]","[-0.17713992670178413, 0.23636166378855705]",,"[-0.8340481556952, -0.8157514967024326]",,"[0.5609285123646259, -0.42433761805295944]","[-0.06660434976220131, 0.10373474657535553]","[-0.43731537088751793, -0.44852541014552116]",,,,"[-0.21184679493308067, -0.9867052100598812]",
08 11 15 0 8 59.9960000,,"[-0.02531776949763298, -0.08346093818545341]",,"[0.024354800581932068, -0.376017477363348]",,,,"[-0.023422375321388245, 0.08978859335184097]","[-0.2939595617353916, 0.06955788284540176]",,"[0.5695354789495468, -0.821442611515522]",,"[0.02093328908085823, -0.3017210327088833]","[-0.1437586359679699, 0.05105619505047798]","[-0.13818421214818954, -0.2614840120077133]",,,,"[0.08320805430412292, 0.16581593081355095]",
08 11 15 0 9 29.9960000,,"[-0.10997192561626434, -0.010773513466119766]",,"[0.23271745443344116, 0.008427627384662628]",,,,"[0.4487930089235306, 0.05259263142943382]","[-0.004287112504243851, -0.14482705295085907]",,"[-0.6717010289430618, -1.0739344544708729]",,"[0.1006096750497818, 0.208211287856102]","[-0.04180261120200157, 0.1630892977118492]","[-0.04981269687414169, -0.6650475151836872]",,,,"[-0.3089310824871063, 0.15193501487374306]",
08 11 15 0 9 59.9960000,,"[-0.1085566058754921, -0.3247825838625431]",,"[0.07593528181314468, 0.3222873732447624]",,,,"[0.41189372166991234, -1.3184141255915165]","[0.07484673336148262, -0.2614702396094799]",,"[0.7104889154434204, -0.4360744282603264]",,"[0.062367115169763565, 0.6316975243389606]","[0.32243045791983604, -0.2542358376085758]","[-0.5723744779825211, 0.17235450074076653]",,,,"[0.3735591843724251, 0.8184338994324207]",
08 11 15 0 10 29.9960000,,"[0.4449854716658592, -0.056049928069114685]",,"[0.04082533344626427, 0.1464574709534645]",,,,"[0.11574279889464378, -0.7904420122504234]","[0.22642101347446442, -0.22649000212550163]",,"[0.04897528514266014, -0.818101916462183]",,"[0.04715506359934807, -1.1798656769096851]","[0.20933832600712776, -0.0009708330035209656]","[-0.5783505886793137, -0.4974788911640644]",,,,"[-0.18358780443668365, -0.26211366057395935]",
08 11 15 0 10 59.9960000,,"[0.38428448885679245, 0.12273020669817924]",,"[0.13559149950742722, 0.20837616920471191]",,,,"[0.26608654111623764, -0.23187818005681038]","[-0.0536247156560421, -0.36263972520828247]",,"[0.5472567528486252, -0.37295055016875267]",,"[-0.5944988243281841, -0.6388344392180443]","[0.002565518021583557, -0.10987146198749542]","[-0.5439706407487392, -0.7596996948122978]",,,,"[0.08052711188793182, 0.4570736028254032]",
08 11 15 0 11 29.9960000,,"[0.20960084721446037, 0.1491176001727581]",,"[-0.2363244630396366, -0.380955558270216]",,,,"[0.052007585763931274, 0.7776324786245823]","[-0.04558359831571579, 0.08960281684994698]",,"[-0.5754645057022572, -0.6143420338630676]",,"[-0.6052996516227722, -0.285042479634285]","[-0.2813779301941395, -0.39636483788490295]","[-0.4354431852698326, -0.3758556805551052]",,,,"[-0.2226058654487133, 0.48201268538832664]",
08 11 15 0 11 59.9960000,,"[-0.03389250487089157, 0.2299160398542881]",,"[-0.1662556678056717, 0.14119281619787216]",,,,"[-0.18351051583886147, 0.3290499858558178]","[0.05510225147008896, -0.13943031802773476]",,"[-0.37197430431842804, 0.23516712710261345]",,"[-0.14422038942575455, 0.4287053905427456]","[0.03431329503655434, -0.31985660642385483]","[-0.28386209160089493, -0.3379310965538025]",,,,"[0.32378901168704033, 0.21396103128790855]",
08 11 15 0 12 29.9960000,,"[0.0716906189918518, -0.03986210748553276]",,"[0.005752395838499069, 0.592323612421751]",,,,"[-0.5546328946948051, -0.6715462766587734]","[-0.27342063188552856, -0.20374292135238647]",,"[0.18740292266011238, 0.8253061212599277]",,"[0.4479786865413189, -0.149202112108469]","[0.2540939748287201, 0.509530495852232]","[0.04745328798890114, -0.3204375170171261]",,,,"[0.06447508931159973, -0.04444766789674759]",
08 11 15 0 12 59.9960000,,"[-0.10179373621940613, 0.25477340444922447]",,"[0.059611301869153976, -0.5914283357560635]",,,,"[0.06386153772473335, -0.39266425743699074]","[0.28558653593063354, 0.4062744230031967]",,"[0.7625303156673908, 0.8515641465783119]",,"[0.20259195566177368, -0.1607290543615818]","[0.04014144092798233, 0.23333847522735596]","[0.28538045287132263, -0.09881644323468208]",,,,"[-0.17317993193864822, 0.751369271427393]",
08 11 15 0 13 29.9960000,,"[0.251218818128109, 0.07568859681487083]",,"[0.16788697615265846, 0.014960560947656631]",,,,"[0.2505459189414978, -0.3197689317166805]","[0.011039823293685913, -0.6050759516656399]",,"[0.00516882911324501, 0.43203162401914597]",,"[-0.1389598771929741, 0.4903550446033478]","[-0.27245330438017845, -0.5690218769013882]","[0.036103155463933945, 0.013358835130929947]",,,,"[-0.08786288648843765, -0.23509543761610985]",
08 11 15 0 13 59.9960000,,"[-0.12074542790651321, 0.13727398216724396]",,"[-0.11471471190452576, 0.02716636285185814]",,,,"[0.21287411451339722, 0.069393090903759]","[-0.06378303468227386, -0.03458194434642792]",,"[0.20482901483774185, 0.4882871061563492]",,"[0.21038809791207314, 0.7871679849922657]","[-0.10373498871922493, -0.34100034087896347]","[0.07720774784684181, -0.6717136539518833]",,,,"[0.2431195229291916, 0.07106148079037666]",
08 11 15 0 14 29.9960000,,"[0.07983314990997314, 0.7757976837456226]",,"[0.18834073841571808, 0.019067954272031784]",,,,"[-0.29066411033272743, 0.2246648669242859]","[-0.010124050080776215, -0.0488741397857666]",,"[-0.5684347487986088, -0.07321429252624512]",,"[-0.21911918371915817, -0.15400192514061928]","[0.008831676095724106, 0.21267195045948029]","[-0.23109598830342293, -0.07183122634887695]",,,,"[-0.025504790246486664, -0.4262913353741169]",
08 11 15 0 14 59.9960000,,"[-0.0396265871822834, -0.2741694934666157]",,"[-0.1087818294763565, -0.014576960355043411]",,,,"[-0.03838013857603073, 0.38657422363758087]","[-0.11057770252227783, 0.11758916079998016]",,"[0.42361295223236084, -0.6196955852210522]",,"[0.0644981823861599, 0.2768165059387684]","[-0.05041053518652916, 0.37268662825226784]","[-0.0940467119216919, -0.4265196695923805]",,,,"[0.24380112811923027, 0.1812610775232315]",
08 11 15 0 15 29.9960000,,"[0.24894583970308304, 0.6444060988724232]",,"[-0.1717490591108799, 0.06766830384731293]",,,,"[0.5867874100804329, -0.5016727410256863]","[-0.2022981271147728, -0.11776336282491684]",,"[0.1530536450445652, 0.23765696212649345]",,"[-0.17858996242284775, 0.41021929681301117]","[0.22428761795163155, -0.5606770291924477]","[0.1023525595664978, -1.1862196736037731]",,,,"[0.12478168308734894, 0.10847926512360573]",
