epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G31,G32
08 11 15 0 0 0.0000000,,"[-0.19212589785456657, -0.3325098976492882]",,"[0.266557265073061, 0.23403964191675186]",,,,"[0.04168950766324997, -0.6354467160999775]","[0.037585869431495667, 0.33311840891838074]",,"[0.07178729772567749, -0.9309235736727715]",,"[0.3312729299068451, -0.5219957530498505]","[0.07194450497627258, 0.06564405933022499]",,,,"[0.2381148785352707, 0.4713432304561138]",
08 11 15 0 0 30.0000000,,"[0.03458721190690994, -0.08782975748181343]",,"[0.00818714126944542, 0.08149796351790428]",,,,"[0.5094266384840012, -0.8445310182869434]","[-0.01614612713456154, 0.4669414386153221]",,"[0.5631289519369602, -0.6699215732514858]",,"[0.7806672342121601, -0.17348506301641464]","[0.3549899198114872, -0.3423767574131489]","[-0.15489748120307922, 0.19568882510066032]",,,"[-0.20161185413599014, 0.024985723197460175]",
08 11 15 0 1 0.0000000,,"[0.2747938148677349, 0.24556079134345055]",,"[-0.23590797930955887, 0.48024551570415497]",,,,"[0.6266886070370674, -0.07155220955610275]","[-0.14298932254314423, 0.3859054371714592]",,"[-0.3691166788339615, -0.8125097341835499]",,"[0.32752813771367073, -0.09086998924612999]","[-0.11636108160018921, 0.1149274930357933]","[0.10096234828233719, -0.06999906897544861]",,,"[-0.12455612048506737, 0.5221131481230259]",
08 11 15 0 1 30.0000000,,"[-0.02840300276875496, 0.2593062296509743]",,"[-0.46385152265429497, 0.10335205495357513]",,,,"[0.8041046783328056, 0.13096026331186295]","[0.24462813511490822, 0.09345724806189537]",,"[0.6070767380297184, -0.20953551679849625]",,"[-0.18976711854338646, 0.09387627989053726]","[0.15662242099642754, 0.7883893102407455]","[-0.026209738105535507, -0.30647629126906395]",,,"[-0.1369001790881157, 0.04534032940864563]",
08 11 15 0 2 0.0000000,,"[-0.2746322378516197, 0.300884485244751]",,"[-0.16504522040486336, -0.025662120431661606]",,,,"[0.17402960360050201, -0.6606222689151764]","[-0.08040570095181465, -0.27877573668956757]",,"[-0.08608846738934517, -0.35462209582328796]",,"[-0.09703391045331955, 0.8602665327489376]","[0.31206199899315834, 0.32000014930963516]","[0.7094053998589516, -0.40779610350728035]",,,"[0.10815110430121422, 0.3337862119078636]",
08 11 15 0 2 30.0000000,,"[0.24124502390623093, 0.2859352268278599]",,"[0.0024931542575359344, -0.22779706865549088]",,,,"[-0.33666103333234787, 0.13156747072935104]","[0.012000132352113724, -0.39855510741472244]",,"[-0.5301422290503979, -1.0800270102918148]",,"[0.253036517649889, 0.07150527834892273]","[-0.0580747053027153, -0.49427101388573647]","[0.28365203738212585, -1.3198669776320457]",,,"[-0.2817417122423649, 0.14111127331852913]",
08 11 15 0 3 0.0000000,,"[-0.004661474376916885, 1.0924495868384838]",,"[0.07235871627926826, -0.2562198266386986]",,,,"[-0.57962416857481, 0.68805380910635]","[0.23005928099155426, 0.2790384814143181]",,"[0.2918582297861576, -1.4970002211630344]",,"[0.42795273661613464, 0.3760072775185108]","[-0.3869882673025131, 0.027304138988256454]","[-0.23176439106464386, -1.1230560168623924]",,,"[-0.17237473279237747, -0.6577618233859539]",
08 11 15 0 3 30.0000000,,"[-0.08440663293004036, -0.008392635732889175]",,"[-0.27346572279930115, -0.0022209137678146362]",,,,"[-0.4465233013033867, 0.6923801526427269]","[0.025569811463356018, 0.45710816606879234]",,"[-0.0694912001490593, -1.213998630642891]",,"[-0.21149849519133568, 0.6521665416657925]","[0.025733795017004013, -0.8583137467503548]","[0.456413421779871, -0.9989508539438248]",,,"[-0.08853144198656082, -0.031404972076416016]",
08 11 15 0 4 0.0000000,,"[-0.17184193432331085, -0.044793710112571716]",,"[0.15551015734672546, -0.11143023893237114]",,,,"[0.10430555045604706, -0.5553203523159027]","[0.10694685205817223, 0.8451065346598625]",,"[-0.2115001454949379, -0.10478969663381577]",,"[0.231843251734972, 0.014077320694923401]","[-0.16494078934192657, -0.009305782616138458]","[0.23681044206023216, -0.7849398069083691]",,,"[0.2852749079465866, 0.23110266402363777]",
08 11 15 0 4 30.0000000,,"[0.1068485863506794, 0.2476954534649849]",,"[-0.1594053953886032, 0.009798843413591385]",,,,"[0.0975351519882679, 0.953728474676609]","[-0.0610760934650898, 0.8478597328066826]",,"[0.2919866070151329, -0.8330384492874146]",,"[0.1933140642940998, -0.7553380541503429]","[-0.2807025834918022, 0.2988864667713642]","[-0.35525644198060036, -0.5907901339232922]",,,"[0.3074555844068527, -0.3770061656832695]",
08 11 15 0 5 0.0000000,,"[0.18197666853666306, -0.002926871180534363]",,"[-0.12517471984028816, 0.21913831308484077]",,,,"[0.06385699287056923, 0.3374769240617752]","[-0.24437963590025902, -0.28413550555706024]",,"[0.3138521537184715, 0.11924507841467857]",,"[0.22259317710995674, -0.01967591419816017]","[-0.07672282680869102, 0.08889225870370865]","[0.18889285624027252, -0.47527454793453217]",,,"[0.10167550295591354, 0.49411705136299133]",
08 11 15 0 5 30.0000000,,"[-0.0045977383852005005, -0.21130973100662231]",,"[-0.1904127337038517, -0.05264682695269585]",,,,"[-0.37078241258859634, 0.008064541965723038]","[0.06334837898612022, 0.19994138181209564]",,"[0.42754703387618065, -0.19704484194517136]",,"[0.06148994341492653, 0.21002408489584923]","[0.026070617139339447, 0.23477929830551147]","[0.25622064620256424, -0.4316955469548702]",,,"[0.018942248076200485, 0.1660187728703022]",
08 11 15 0 6 0.0000000,,"[-0.21986372023820877, -0.3334612399339676]",,"[-0.3757825084030628, -0.11965187638998032]",,,,"[-0.2924208343029022, -0.2611168697476387]","[-0.10082179680466652, 0.6957743763923645]",,"[-0.5183608531951904, -0.1990542896091938]",,"[-0.2934040389955044, 0.6479880437254906]","[0.33689622953534126, 0.48266804218292236]","[0.6527299992740154, 0.08077383413910866]",,,"[-0.4579714313149452, -0.4803921803832054]",
08 11 15 0 6 30.0010000,,"[-0.1818363107740879, -0.2730608396232128]",,"[-0.14481613039970398, 0.25488317012786865]",,,,"[-0.2963225692510605, -0.7757464423775673]","[0.023854821920394897, -0.005490001291036606]",,"[-0.17984865233302116, -0.024341754615306854]",,"[-0.35721999406814575, 0.2353084646165371]","[-0.3153240643441677, 0.3987956643104553]","[-0.010397225618362427, -0.14395443350076675]",,,"[0.3555988371372223, 0.809061698615551]",
08 11 15 0 7 0.0010000,,"[-0.19846482574939728, -0.15264369919896126]",,"[0.2622210122644901, -0.017067961394786835]",,,,"[-0.4605138450860977, -0.1941397413611412]","[-0.1373118944466114, -0.3360229954123497]",,"[-0.10154980421066284, 0.022147387266159058]",,"[0.46909722685813904, 0.964244432747364]","[0.3474559970200062, 0.22225827351212502]","[0.17311369627714157, 0.6874612011015415]",,,"[-0.5214693546295166, 0.8764588311314583]",
