epoch,G03,G06,G07,G08,G11,G13,G16,G19,G21,G23,G25,G27
08 11 15 1 7 0.0000000,"[-0.254522172609965, 0.10620209220796806]","[0.13556103588392343, -0.5409042968104281]","[-0.28683557907740276, -0.18974198742459225]",,,"[-1.770522215776145, -2.864483015363415]","[-1.4840155410580338, -0.8467548552900552]","[-0.10958236015091338, 0.14552299001564584]","[-6.362245560996234, -6.125804960913956]","[1.289054528872172, 2.1688987156997124]","[-0.019672772691895712, 0.2336401764303444]",
08 11 15 1 7 30.0000000,"[-0.5191722119847934, 0.20344835165888053]","[-0.05182112573335562, -0.10160648661355154]","[-1.1055419276158016, -0.6802482192094128]",,,"[-1.847783872298896, -1.907229931776722]","[-1.4525474178604783, -0.9853358779102563]","[-0.07967604255924621, -0.3257828720534841]","[-4.839968593232333, -5.4316497894003986]","[1.8421386490265528, 2.6910059890399376]","[-0.30282734970872616, 0.0892160061746834]",
08 11 15 1 8 0.0000000,"[-0.7145303467909495, -0.2454150205478074]","[0.1505261156087121, -0.19308067696789877]","[-0.2368101606766383, -0.11687904937813687]",,,"[-2.259573632292449, -2.0701839343955117]","[-1.547202745359391, -0.3169029865413904]","[0.08311044865598283, -0.5864918150628606]","[-5.101965905539691, -4.598945602960884]","[2.33285203675429, 2.788286774481336]","[-0.11624314527337765, -0.2995251890271904]",
08 11 15 1 8 30.0000000,"[-0.5408162007729213, -0.5168128347024323]","[-0.38740885077665244, -0.30903372007111685]","[-0.004889903465906786, -0.21115607364724087]",,,"[-2.973182985000312, -2.9208034442116815]","[-1.1511183696798981, -0.37194702662527557]","[-0.23678624189148345, -0.5871227600301305]","[-5.202662603370845, -5.838439896889031]","[1.2890115986267725, 2.2872202834735313]","[-0.1612566624147198, -0.26488027237355727]",
08 11 15 1 9 0.0000000,"[-0.4553504268328349, -0.6749652212485673]","[-0.22802440642068778, 0.2492774890114866]","[-0.4518695155779521, -0.13350366397450375]",,,"[-3.649304845742881, -2.153612183158596]","[-1.1817256378941239, -0.7660242829471826]","[-0.336161780419449, -0.4335043348992864]","[-7.0570954842492934, -8.409809038229287]","[1.4166739294926325, 2.273230894530813]","[0.21466436345751072, 0.1405577186495064]",
08 11 15 1 9 30.0000000,"[-0.06339911917845409, -0.39065648969262856]","[-0.3296676856155196, 0.3610091076542936]","[-0.13967329065004985, -0.5229382847125332]",,,"[-3.3982334820553657, -2.004228384916981]","[-0.7752154412679374, -0.7459311101585626]","[-0.1978556395197908, 0.05132635751118264]","[-6.120558725111186, -13.777126327343286]","[2.1080456087986628, 1.8943149140725533]","[0.42870610315973545, 0.5917443905025719]",
08 11 15 1 10 0.0000000,"[0.06905439694722493, 0.0034554565325377595]","[0.1112204286580285, 0.21892038149138315]","[-0.06109446088473003, -0.855730224090318]",,,"[-3.3554251430556175, -1.709313751881321]","[-0.64253989784047, -1.2257633123546838]","[0.008406688210864877, 0.2884199253593882]","[-5.083355115167796, -9.039762541837991]","[2.107844070593516, 1.8010245701918999]","[0.134330743147681, 0.6662856165319679]",
08 11 15 1 10 30.0000000,"[-0.3256055990854899, 0.1399740392342208]","[-0.005395961987475495, 0.31904488963385447]","[-0.027812821666399645, -0.35350124879429745]",,,"[-2.7115981368348, -2.575478808706005]","[-0.615153560321778, -1.2917695853859186]","[0.49917787009229264, 0.4946034184967478]","[-5.904152677766978, -4.857674852199852]","[1.1830648938814798, 2.225329770768682]","[-0.22672977189843868, 0.7369894359260796]",
08 11 15 1 11 0.0000000,"[-0.41775869379440944, 0.19870137814432365]","[-0.6471277084822455, 0.09066297275324686]","[-0.08894994656244914, -0.07265991314003872]",,,"[-2.7691194353625175, -2.5384992973258096]","[-1.2680881860665978, -1.7049902442842721]","[-0.07248301363239684, -0.04332802376399436]",,"[0.9677613685528438, 2.220103039468328]","[-0.9737502549154065, 0.11920077838003618]",
08 11 15 1 11 30.0000000,"[-0.5042944605151812, -0.12217693384736794]","[-0.3719616812343398, 0.14507734936972483]","[-0.18523187736670177, 1.2681723053877552]",,,"[-2.2185784814879295, -2.5800772325446206]","[-1.575746329408139, -1.3499670688062906]","[-0.36121198839197555, -0.429408720942835]",,"[1.3314572433630625, 2.455325751627485]","[-0.08094546835248684, -0.5838612195104362]",
